interaction_id,traveller_id,hotel_id,month,nights,budget,hotel_price,comfort_match,party_match,accessibility_match,budget_fit,location_quality,amenity_match,route_efficiency,context_component,excessive_cost_penalty,synthetic_suitability_score,split,traveller_type,adults,children,seniors,total_party_size,pace,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,comfort_level,star_category,quality_score,price_per_night,room_capacity,accessibility_score
HI0000019,T000005,H0035,November,2,26819,25212.0,72.0,56.12,100.0,0.0,53.08,87.5,74.35,100.0,100.0,51.29,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,luxury,5,90.3,25212,2,72
HI0000020,T000005,H0022,November,2,26819,7622.0,100.0,64.4,100.0,94.18,68.68,75.0,82.15,100.0,5.09,100.0,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,premium,4,85.5,7622,2,71
HI0000021,T000006,H0039,June,3,89674,25055.0,44.0,75.22,100.0,0.0,52.36,100.0,73.3,79.21,100.0,43.67,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,luxury,5,91.0,25055,2,100
HI0000022,T000006,H0029,June,3,89674,3084.0,100.0,56.78,100.0,100.0,52.84,75.0,77.35,100.0,0.0,100.0,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,standard,3,74.8,3084,2,83
HI0000023,T000006,H0009,June,3,89674,4070.0,100.0,60.98,100.0,100.0,61.24,75.0,83.8,71.63,0.0,97.29,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,standard,3,55.9,4070,3,44
HI0000024,T000006,H0017,June,3,89674,2123.0,72.0,60.65,100.0,100.0,75.28,87.5,85.0,70.33,0.0,94.27,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,budget,2,58.2,2123,2,34
HI0000025,T000007,H0010,February,2,7754,2651.0,72.0,62.0,100.0,100.0,57.16,12.5,74.8,100.0,0.0,96.71,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,budget,2,58.1,2651,2,28
HI0000026,T000007,H0029,February,2,7754,3084.0,100.0,71.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,99.08,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,standard,3,74.8,3084,2,83
HI0000027,T000007,H0014,February,2,7754,11338.0,72.0,54.0,100.0,0.0,61.6,50.0,80.8,100.0,100.0,44.69,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,premium,4,89.7,11338,2,74
HI0000028,T000007,H0024,February,2,7754,2813.0,72.0,60.0,100.0,100.0,67.36,50.0,87.4,100.0,0.0,99.77,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,budget,2,45.5,2813,2,63
HI0000029,T000008,H0028,December,7,44512,4489.0,72.0,73.0,100.0,0.44,60.04,62.5,84.25,100.0,87.11,67.16,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,standard,3,61.1,4489,3,100
HI0000030,T000008,H0023,December,7,44512,24419.0,16.0,63.0,100.0,0.0,73.0,62.5,83.95,100.0,100.0,49.28,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,luxury,5,96.1,24419,2,61
HI0000031,T000008,H0009,December,7,44512,4070.0,72.0,56.0,100.0,17.2,61.24,75.0,83.8,100.0,72.45,71.85,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,standard,3,55.9,4070,3,44
HI0000032,T000008,H0017,December,7,44512,2123.0,100.0,82.0,100.0,95.08,75.28,75.0,85.0,100.0,4.31,100.0,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,budget,2,58.2,2123,2,34
HI0000033,T000009,H0023,November,6,132862,24419.0,100.0,64.4,100.0,100.0,73.0,62.5,83.95,100.0,0.0,100.0,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,luxury,5,96.1,24419,2,61
HI0000034,T000009,H0035,November,6,132862,25212.0,100.0,56.12,100.0,100.0,53.08,87.5,74.35,100.0,0.0,100.0,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,luxury,5,90.3,25212,2,72
HI0000035,T000009,H0012,November,6,132862,5444.0,44.0,60.72,100.0,100.0,61.0,37.5,80.35,100.0,0.0,77.91,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,standard,3,61.7,5444,2,53
HI0000036,T000009,H0008,November,6,132862,1314.0,16.0,61.64,100.0,100.0,46.48,37.5,67.15,100.0,0.0,77.22,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,budget,2,35.5,1314,2,44
HI0000037,T000010,H0021,May,2,12148,1497.0,100.0,66.0,100.0,100.0,66.28,37.5,87.1,100.0,0.0,100.0,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,budget,2,46.4,1497,3,55
HI0000038,T000010,H0034,May,2,12148,4196.0,72.0,64.0,100.0,12.16,52.96,75.0,74.8,100.0,76.86,77.58,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,standard,3,56.9,4196,3,38
HI0000039,T000010,H0009,May,2,12148,4070.0,72.0,56.0,100.0,17.2,61.24,75.0,83.8,100.0,72.45,60.33,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,standard,3,55.9,4070,3,44
HI0000040,T000010,H0015,May,2,12148,24244.0,16.0,65.0,100.0,0.0,67.72,50.0,85.75,100.0,100.0,41.13,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,luxury,5,88.6,24244,2,66
HI0000041,T000011,H0032,March,3,101774,3917.0,72.0,65.69,100.0,95.38,44.44,37.5,74.5,100.0,6.73,94.47,test,family,4,3,0,7,easy_going,high,budget,no_restriction,vegetarian,fastest,6,59,14,82,31,14,92,16,28,15,11,2,standard,3,71.5,3917,3,54
HI0000042,T000011,H0035,March,3,101774,25212.0,16.0,78.02,100.0,0.0,53.08,100.0,74.35,100.0,100.0,50.2,test,family,4,3,0,7,easy_going,high,budget,no_restriction,vegetarian,fastest,6,59,14,82,31,14,92,16,28,15,11,2,luxury,5,90.3,25212,2,72
HI0000043,T000011,H0024,March,3,101774,2813.0,100.0,61.46,100.0,100.0,67.36,62.5,87.4,100.0,0.0,100.0,test,family,4,3,0,7,easy_going,high,budget,no_restriction,vegetarian,fastest,6,59,14,82,31,14,92,16,28,15,11,2,budget,2,45.5,2813,2,63
HI0000044,T000011,H0033,March,3,101774,10987.0,44.0,73.97,100.0,0.0,67.72,75.0,80.35,100.0,100.0,55.91,test,family,4,3,0,7,easy_going,high,budget,no_restriction,vegetarian,fastest,6,59,14,82,31,14,92,16,28,15,11,2,premium,4,83.0,10987,2,65
HI0000045,T000012,H0014,September,7,68672,11338.0,100.0,54.0,100.0,73.29,61.6,50.0,80.8,100.0,23.37,87.23,train,solo,1,0,0,1,packed,medium,premium,no_restriction,jain,lowest_cost,98,94,61,47,43,35,60,85,36,68,25,43,premium,4,89.7,11338,2,74
HI0000046,T000012,H0025,September,7,68672,27248.0,72.0,75.0,100.0,0.0,52.12,62.5,81.7,100.0,100.0,60.22,train,solo,1,0,0,1,packed,medium,premium,no_restriction,jain,lowest_cost,98,94,61,47,43,35,60,85,36,68,25,43,luxury,5,91.8,27248,2,71
HI0000047,T000012,H0037,September,7,68672,1947.0,44.0,75.0,100.0,100.0,59.8,50.0,83.5,66.83,0.0,100.0,train,solo,1,0,0,1,packed,medium,premium,no_restriction,jain,lowest_cost,98,94,61,47,43,35,60,85,36,68,25,43,budget,2,39.1,1947,3,69
HI0000048,T000012,H0039,September,7,68672,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,66.31,100.0,58.02,train,solo,1,0,0,1,packed,medium,premium,no_restriction,jain,lowest_cost,98,94,61,47,43,35,60,85,36,68,25,43,luxury,5,91.0,25055,2,100
HI0000049,T000013,H0023,November,1,44898,24419.0,72.0,65.84,100.0,0.0,73.0,75.0,83.95,100.0,100.0,57.06,test,family,4,1,1,6,balanced,medium,premium,no_restriction,vegetarian,fastest,38,88,53,56,44,15,36,63,95,91,62,95,luxury,5,96.1,24419,2,61
HI0000050,T000013,H0006,November,1,44898,2830.0,44.0,62.27,100.0,100.0,60.88,37.5,81.1,100.0,0.0,96.21,test,family,4,1,1,6,balanced,medium,premium,no_restriction,vegetarian,fastest,38,88,53,56,44,15,36,63,95,91,62,95,budget,2,53.9,2830,4,66
HI0000051,T000013,H0020,November,1,44898,3776.0,72.0,52.4,100.0,100.0,82.72,75.0,91.0,100.0,0.0,94.11,test,family,4,1,1,6,balanced,medium,premium,no_restriction,vegetarian,fastest,38,88,53,56,44,15,36,63,95,91,62,95,standard,3,66.7,3776,3,59
HI0000052,T000013,H0016,November,1,44898,9320.0,100.0,82.43,100.0,100.0,55.6,75.0,81.55,100.0,0.0,100.0,test,family,4,1,1,6,balanced,medium,premium,no_restriction,vegetarian,fastest,38,88,53,56,44,15,36,63,95,91,62,95,premium,4,87.3,9320,2,55
HI0000053,T000014,H0015,September,3,30161,24244.0,44.0,65.0,100.0,0.0,67.72,50.0,85.75,100.0,100.0,39.97,train,solo,1,0,0,1,easy_going,high,standard,no_restriction,vegetarian,balanced,72,8,93,13,95,80,59,78,79,94,25,59,luxury,5,88.6,24244,2,66
HI0000054,T000014,H0005,September,3,30161,5001.0,100.0,66.0,100.0,90.85,61.6,62.5,79.45,81.21,13.35,100.0,train,solo,1,0,0,1,easy_going,high,standard,no_restriction,vegetarian,balanced,72,8,93,13,95,80,59,78,79,94,25,59,standard,3,64.9,5001,2,47
HI0000055,T000014,H0036,September,3,30161,3166.0,100.0,87.0,100.0,100.0,47.92,37.5,69.55,100.0,0.0,100.0,train,solo,1,0,0,1,easy_going,high,standard,no_restriction,vegetarian,balanced,72,8,93,13,95,80,59,78,79,94,25,59,standard,3,68.6,3166,2,51
HI0000056,T000014,H0037,September,3,30161,1947.0,72.0,75.0,100.0,100.0,59.8,50.0,83.5,77.06,0.0,91.15,train,solo,1,0,0,1,easy_going,high,standard,no_restriction,vegetarian,balanced,72,8,93,13,95,80,59,78,79,94,25,59,budget,2,39.1,1947,3,69
HI0000057,T000015,H0021,December,3,46031,1497.0,72.0,44.12,100.0,100.0,66.28,37.5,87.1,100.0,0.0,88.83,train,family,3,1,1,5,packed,medium,standard,no_restriction,vegan,balanced,65,41,77,67,33,89,76,27,36,31,15,14,budget,2,46.4,1497,3,55
HI0000058,T000015,H0019,December,3,46031,3860.0,100.0,71.1,100.0,100.0,63.16,62.5,77.2,100.0,0.0,94.45,train,family,3,1,1,5,packed,medium,standard,no_restriction,vegan,balanced,65,41,77,67,33,89,76,27,36,31,15,14,standard,3,63.5,3860,3,56
HI0000059,T000015,H0035,December,3,46031,25212.0,44.0,69.26,100.0,0.0,53.08,100.0,74.35,100.0,100.0,49.73,train,family,3,1,1,5,packed,medium,standard,no_restriction,vegan,balanced,65,41,77,67,33,89,76,27,36,31,15,14,luxury,5,90.3,25212,2,72
HI0000060,T000015,H0009,December,3,46031,4070.0,100.0,60.98,100.0,100.0,61.24,75.0,83.8,100.0,0.0,99.9,train,family,3,1,1,5,packed,medium,standard,no_restriction,vegan,balanced,65,41,77,67,33,89,76,27,36,31,15,14,standard,3,55.9,4070,3,44
HI0000061,T000016,H0030,January,3,23760,1633.0,100.0,61.0,27.0,100.0,55.96,37.5,73.0,100.0,0.0,92.62,train,seniors,2,0,1,3,packed,low,budget,wheelchair_friendly_preference,non_vegetarian,fastest,54,0,94,78,58,72,37,41,0,75,62,26,budget,2,36.7,1633,3,27
HI0000062,T000016,H0002,January,3,23760,27738.0,16.0,62.0,65.0,0.0,68.92,62.5,81.55,100.0,100.0,48.25,train,seniors,2,0,1,3,packed,low,budget,wheelchair_friendly_preference,non_vegetarian,fastest,54,0,94,78,58,72,37,41,0,75,62,26,luxury,5,93.1,27738,3,65
HI0000063,T000016,H0029,January,3,23760,3084.0,72.0,50.6,83.0,1.06,52.84,62.5,77.35,100.0,57.72,59.8,train,seniors,2,0,1,3,packed,low,budget,wheelchair_friendly_preference,non_vegetarian,fastest,54,0,94,78,58,72,37,41,0,75,62,26,standard,3,74.8,3084,2,83
HI0000064,T000016,H0028,January,3,23760,4489.0,72.0,51.0,100.0,0.0,60.04,62.5,84.25,100.0,87.11,53.81,train,seniors,2,0,1,3,packed,low,budget,wheelchair_friendly_preference,non_vegetarian,fastest,54,0,94,78,58,72,37,41,0,75,62,26,standard,3,61.1,4489,3,100
HI0000065,T000017,H0020,January,2,30136,3776.0,44.0,78.0,100.0,100.0,82.72,75.0,91.0,100.0,0.0,87.11,validation,solo,1,0,0,1,packed,low,luxury,no_restriction,vegetarian,public_transport,83,88,52,63,53,18,66,66,41,39,0,48,standard,3,66.7,3776,3,59
HI0000066,T000017,H0001,January,2,30136,2049.0,16.0,56.0,100.0,100.0,48.4,25.0,74.8,100.0,0.0,85.96,validation,solo,1,0,0,1,packed,low,luxury,no_restriction,vegetarian,public_transport,83,88,52,63,53,18,66,66,41,39,0,48,budget,2,36.3,2049,3,13
HI0000067,T000017,H0025,January,2,30136,27248.0,100.0,75.0,100.0,38.35,52.12,62.5,81.7,100.0,35.96,79.36,validation,solo,1,0,0,1,packed,low,luxury,no_restriction,vegetarian,public_transport,83,88,52,63,53,18,66,66,41,39,0,48,luxury,5,91.8,27248,2,71
HI0000068,T000017,H0036,January,2,30136,3166.0,44.0,87.0,100.0,100.0,47.92,37.5,69.55,100.0,0.0,78.24,validation,solo,1,0,0,1,packed,low,luxury,no_restriction,vegetarian,public_transport,83,88,52,63,53,18,66,66,41,39,0,48,standard,3,68.6,3166,2,51
HI0000069,T000018,H0039,November,4,51396,25055.0,16.0,57.04,100.0,0.0,52.36,87.5,73.3,100.0,100.0,40.55,train,friends,6,0,0,6,easy_going,low,budget,no_restriction,vegetarian,public_transport,70,74,79,66,77,2,25,44,62,55,35,68,luxury,5,91.0,25055,2,100
HI0000070,T000018,H0020,November,4,51396,3776.0,72.0,54.28,100.0,46.42,82.72,75.0,91.0,100.0,31.25,69.34,train,friends,6,0,0,6,easy_going,low,budget,no_restriction,vegetarian,public_transport,70,74,79,66,77,2,25,44,62,55,35,68,standard,3,66.7,3776,3,59
HI0000071,T000018,H0024,November,4,51396,2813.0,100.0,76.36,100.0,63.13,67.36,50.0,87.4,100.0,21.51,83.78,train,friends,6,0,0,6,easy_going,low,budget,no_restriction,vegetarian,public_transport,70,74,79,66,77,2,25,44,62,55,35,68,budget,2,45.5,2813,2,63
HI0000072,T000018,H0016,November,4,51396,9320.0,44.0,58.88,100.0,0.0,55.6,62.5,81.55,100.0,100.0,38.37,train,friends,6,0,0,6,easy_going,low,budget,no_restriction,vegetarian,public_transport,70,74,79,66,77,2,25,44,62,55,35,68,premium,4,87.3,9320,2,55
HI0000073,T000019,H0030,January,3,23425,1633.0,72.0,75.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,100.0,train,couple,2,0,0,2,balanced,medium,standard,no_restriction,no_preference,balanced,79,70,85,55,84,45,47,57,58,69,46,60,budget,2,36.7,1633,3,27
HI0000074,T000019,H0029,January,3,23425,3084.0,100.0,81.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,100.0,train,couple,2,0,0,2,balanced,medium,standard,no_restriction,no_preference,balanced,79,70,85,55,84,45,47,57,58,69,46,60,standard,3,74.8,3084,2,83
HI0000075,T000019,H0020,January,3,23425,3776.0,100.0,69.0,100.0,100.0,82.72,75.0,91.0,100.0,0.0,96.64,train,couple,2,0,0,2,balanced,medium,standard,no_restriction,no_preference,balanced,79,70,85,55,84,45,47,57,58,69,46,60,standard,3,66.7,3776,3,59
HI0000076,T000019,H0016,January,3,23425,9320.0,72.0,59.0,100.0,2.48,55.6,62.5,81.55,100.0,85.33,52.74,train,couple,2,0,0,2,balanced,medium,standard,no_restriction,no_preference,balanced,79,70,85,55,84,45,47,57,58,69,46,60,premium,4,87.3,9320,2,55
HI0000077,T000020,H0034,December,4,49349,4196.0,72.0,53.36,100.0,100.0,52.96,75.0,74.8,100.0,0.0,98.08,train,family,3,2,0,5,balanced,low,premium,no_restriction,no_preference,lowest_cost,79,69,43,57,88,59,93,82,27,56,54,9,standard,3,56.9,4196,3,38
HI0000078,T000020,H0002,December,4,49349,27738.0,72.0,40.11,100.0,0.0,68.92,62.5,81.55,100.0,87.13,55.73,train,family,3,2,0,5,balanced,low,premium,no_restriction,no_preference,lowest_cost,79,69,43,57,88,59,93,82,27,56,54,9,luxury,5,93.1,27738,3,65
HI0000079,T000020,H0027,December,4,49349,11145.0,100.0,67.9,100.0,100.0,68.2,75.0,86.05,100.0,0.0,99.52,train,family,3,2,0,5,balanced,low,premium,no_restriction,no_preference,lowest_cost,79,69,43,57,88,59,93,82,27,56,54,9,premium,4,72.4,11145,2,76
HI0000080,T000020,H0031,December,4,49349,6095.0,72.0,76.91,100.0,100.0,62.08,62.5,77.5,100.0,0.0,90.21,train,family,3,2,0,5,balanced,low,premium,no_restriction,no_preference,lowest_cost,79,69,43,57,88,59,93,82,27,56,54,9,standard,3,58.2,6095,3,25
HI0000081,T000021,H0021,September,4,35827,1497.0,44.0,66.0,100.0,100.0,66.28,37.5,87.1,100.0,0.0,90.79,train,solo,1,0,0,1,balanced,low,premium,no_restriction,vegetarian,lowest_cost,52,33,70,92,67,76,38,0,50,100,62,12,budget,2,46.4,1497,3,55
HI0000082,T000021,H0039,September,4,35827,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,82.25,100.0,63.78,train,solo,1,0,0,1,balanced,low,premium,no_restriction,vegetarian,lowest_cost,52,33,70,92,67,76,38,0,50,100,62,12,luxury,5,91.0,25055,2,100
HI0000083,T000021,H0038,September,4,35827,9325.0,100.0,83.0,100.0,88.35,57.88,62.5,81.7,72.14,6.79,97.48,train,solo,1,0,0,1,balanced,low,premium,no_restriction,vegetarian,lowest_cost,52,33,70,92,67,76,38,0,50,100,62,12,premium,4,86.7,9325,2,82
HI0000084,T000021,H0028,September,4,35827,4489.0,72.0,69.0,100.0,100.0,60.04,62.5,84.25,100.0,0.0,90.52,train,solo,1,0,0,1,balanced,low,premium,no_restriction,vegetarian,lowest_cost,52,33,70,92,67,76,38,0,50,100,62,12,standard,3,61.1,4489,3,100
HI0000085,T000022,H0032,December,3,37920,3917.0,100.0,64.0,100.0,100.0,44.44,37.5,74.5,100.0,0.0,100.0,test,seniors,2,0,1,3,balanced,medium,standard,no_restriction,no_preference,lowest_cost,73,51,74,58,60,75,52,45,51,62,38,64,standard,3,71.5,3917,3,54
HI0000086,T000022,H0023,December,3,37920,24419.0,44.0,64.4,100.0,0.0,73.0,62.5,83.95,100.0,100.0,46.48,test,seniors,2,0,1,3,balanced,medium,standard,no_restriction,no_preference,lowest_cost,73,51,74,58,60,75,52,45,51,62,38,64,luxury,5,96.1,24419,2,61
HI0000087,T000022,H0006,December,3,37920,2830.0,72.0,75.0,100.0,100.0,60.88,37.5,81.1,100.0,0.0,93.6,test,seniors,2,0,1,3,balanced,medium,standard,no_restriction,no_preference,lowest_cost,73,51,74,58,60,75,52,45,51,62,38,64,budget,2,53.9,2830,4,66
HI0000088,T000022,H0002,December,3,37920,27738.0,44.0,62.0,100.0,0.0,68.92,62.5,81.55,100.0,100.0,46.11,test,seniors,2,0,1,3,balanced,medium,standard,no_restriction,no_preference,lowest_cost,73,51,74,58,60,75,52,45,51,62,38,64,luxury,5,93.1,27738,3,65
HI0000089,T000023,H0016,January,2,40258,9320.0,72.0,58.88,100.0,24.04,55.6,62.5,81.55,100.0,66.47,57.56,train,friends,6,0,0,6,packed,medium,standard,no_restriction,no_preference,lowest_cost,64,61,86,84,81,81,53,10,44,72,46,19,premium,4,87.3,9320,2,55
HI0000090,T000023,H0018,January,2,40258,5949.0,100.0,59.8,100.0,94.92,56.08,25.0,80.5,100.0,4.44,84.37,train,friends,6,0,0,6,packed,medium,standard,no_restriction,no_preference,lowest_cost,64,61,86,84,81,81,53,10,44,72,46,19,standard,3,71.9,5949,2,80
HI0000091,T000023,H0038,January,2,40258,9325.0,72.0,68.08,100.0,25.67,57.88,62.5,81.7,100.0,65.04,66.6,train,friends,6,0,0,6,packed,medium,standard,no_restriction,no_preference,lowest_cost,64,61,86,84,81,81,53,10,44,72,46,19,premium,4,86.7,9325,2,82
HI0000092,T000023,H0026,January,2,40258,1802.0,72.0,48.76,100.0,100.0,56.08,25.0,80.35,100.0,0.0,82.07,train,friends,6,0,0,6,packed,medium,standard,no_restriction,no_preference,lowest_cost,64,61,86,84,81,81,53,10,44,72,46,19,budget,2,40.2,1802,3,63
