interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split
PI0000058,T000008,POI0014,December,morning,Z06,32.9,17.46,3699.6,78.49,69.0,60.0,78.25,100.0,88.2,91.36,13.16,55.71,train
PI0000059,T000008,POI0039,December,morning,Z06,20.2,10.78,1491.8,73.2,67.0,5.0,70.5,100.0,88.0,35.07,8.08,67.16,train
PI0000060,T000008,POI0027,December,evening,Z06,17.9,9.21,267.1,74.21,88.0,81.0,100.0,100.0,61.5,2.32,7.16,86.37,train
PI0000061,T000008,POI0018,December,morning,Z06,32.9,17.46,742.6,83.24,91.0,5.0,71.0,100.0,86.2,11.65,13.16,81.64,train
PI0000062,T000008,POI0005,December,afternoon,Z06,19.2,11.42,2696.6,75.25,85.0,73.0,87.75,100.0,68.9,66.97,7.68,68.46,train
PI0000063,T000008,POI0021,December,evening,Z06,35.7,20.48,653.1,74.84,64.0,58.0,72.5,100.0,79.2,7.98,14.28,75.12,train
PI0000064,T000008,POI0014,December,morning,Z06,32.9,17.46,3699.6,78.49,69.0,60.0,78.25,100.0,88.2,91.36,13.16,57.41,train
PI0000065,T000009,POI0016,November,morning,Z06,32.9,17.46,310.6,62.04,59.0,85.0,88.75,100.0,69.1,0.0,13.16,67.39,train
PI0000066,T000009,POI0002,November,afternoon,Z06,19.2,11.42,247.6,59.3,60.0,55.0,94.0,100.0,67.0,0.38,7.68,89.59,train
PI0000067,T000009,POI0036,November,morning,Z06,10.2,0.97,5.1,63.27,58.0,58.0,88.25,100.0,45.7,0.0,4.08,56.36,train
PI0000068,T000009,POI0060,November,morning,Z06,58.6,33.29,627.1,61.08,60.0,75.0,76.25,100.0,85.3,0.0,23.44,68.03,train
PI0000069,T000009,POI0030,November,afternoon,Z06,17.9,9.21,1464.1,68.54,51.0,72.0,77.0,100.0,75.2,13.91,7.16,70.55,train
PI0000070,T000009,POI0042,November,afternoon,Z06,20.2,10.78,1126.8,61.59,59.0,71.0,95.0,100.0,66.8,10.14,8.08,50.39,train
PI0000071,T000009,POI0033,November,afternoon,Z06,10.2,0.97,1521.1,75.88,66.0,62.0,87.5,100.0,54.6,16.43,4.08,73.91,train
PI0000072,T000009,POI0060,November,afternoon,Z06,58.6,33.29,627.1,61.08,60.0,50.0,76.25,100.0,85.3,0.0,23.44,64.07,train
PI0000073,T000010,POI0027,May,evening,Z08,71.6,42.09,809.4,75.17,96.0,81.0,69.35,100.0,61.5,2.43,28.64,87.48,train
PI0000074,T000010,POI0032,May,afternoon,Z08,61.1,33.99,668.7,69.99,59.0,70.0,69.1,100.0,74.7,1.19,24.44,76.01,train
PI0000075,T000010,POI0025,May,morning,Z08,71.6,42.09,826.4,71.47,66.0,82.0,73.5,100.0,75.9,2.91,28.64,72.33,train
PI0000076,T000010,POI0032,May,morning,Z08,61.1,33.99,668.7,69.99,59.0,76.0,69.1,100.0,74.7,1.19,24.44,64.45,train
PI0000077,T000010,POI0060,May,morning,Z08,14.2,9.2,179.1,79.56,47.0,75.0,74.75,100.0,85.3,0.0,5.68,66.66,train
PI0000078,T000010,POI0015,May,evening,Z08,92.1,54.2,1407.0,68.39,68.0,62.0,72.7,100.0,55.8,10.98,36.84,70.11,train
PI0000079,T000010,POI0006,May,afternoon,Z08,79.2,48.0,855.8,74.75,57.0,69.0,74.4,100.0,64.0,0.0,31.68,80.16,train
PI0000080,T000010,POI0056,May,afternoon,Z08,14.2,9.2,1427.1,56.3,70.0,65.0,77.85,100.0,50.2,35.22,5.68,52.8,train
PI0000081,T000011,POI0050,March,evening,Z02,142.0,89.69,1604.5,40.32,67.4,41.0,84.0,100.0,82.4,0.12,56.8,54.84,test
PI0000082,T000011,POI0002,March,evening,Z02,3.2,1.95,72.8,56.97,69.8,58.0,94.0,100.0,67.0,0.12,1.28,81.07,test
PI0000083,T000011,POI0011,March,afternoon,Z02,14.5,0.33,413.2,61.03,48.0,73.0,99.25,100.0,59.9,1.23,5.8,67.75,test
PI0000084,T000011,POI0050,March,evening,Z02,142.0,89.69,1604.5,40.32,67.4,41.0,84.0,100.0,82.4,0.12,56.8,56.49,test
PI0000085,T000011,POI0058,March,afternoon,Z02,80.8,42.78,847.3,50.84,84.6,78.0,92.75,100.0,68.6,0.15,32.32,79.58,test
PI0000086,T000011,POI0054,March,morning,Z02,142.0,89.69,1626.5,47.92,76.2,70.0,100.0,100.0,79.8,0.18,56.8,72.34,test
PI0000087,T000011,POI0004,March,afternoon,Z02,3.2,1.95,1351.8,45.09,51.0,66.0,95.25,100.0,78.8,3.99,1.28,74.69,test
PI0000088,T000011,POI0022,March,afternoon,Z02,11.8,6.04,5609.1,56.4,25.8,15.0,82.5,100.0,55.1,16.68,4.72,61.95,test
PI0000089,T000012,POI0053,September,evening,Z10,70.7,39.95,862.3,62.86,71.0,39.0,72.35,100.0,54.4,2.92,28.28,63.4,train
PI0000090,T000012,POI0031,September,afternoon,Z10,64.3,33.2,606.7,74.69,69.0,63.0,72.0,100.0,58.3,0.42,25.72,70.32,train
PI0000091,T000012,POI0044,September,afternoon,Z10,16.5,9.89,648.0,56.13,61.0,21.42,72.2,100.0,54.5,8.34,6.6,61.85,train
PI0000092,T000012,POI0027,September,evening,Z10,63.6,39.05,825.5,68.53,96.0,81.0,69.35,100.0,61.5,1.5,25.44,80.11,train
PI0000093,T000012,POI0018,September,evening,Z10,77.1,44.02,1262.7,90.42,47.0,95.0,75.8,100.0,86.2,7.55,30.84,78.6,train
PI0000094,T000012,POI0009,September,evening,Z10,73.8,41.29,4573.7,57.13,64.0,57.0,75.55,100.0,61.1,67.63,29.52,41.5,train
PI0000095,T000012,POI0060,September,evening,Z10,14.9,0.98,7.5,70.79,47.0,49.13,74.75,100.0,85.3,0.0,5.96,54.28,train
PI0000096,T000012,POI0040,September,evening,Z10,58.1,32.18,547.8,88.79,71.0,84.0,74.0,100.0,45.0,0.0,23.24,84.32,train
PI0000097,T000013,POI0032,November,afternoon,Z04,34.8,20.09,462.4,88.48,71.84,70.0,82.8,100.0,74.7,0.37,13.92,86.32,test
PI0000098,T000013,POI0006,November,evening,Z04,12.3,7.82,129.8,71.04,68.04,80.0,81.3,100.0,64.0,0.0,4.92,80.73,test
PI0000099,T000013,POI0003,November,afternoon,Z04,12.3,7.82,316.8,79.69,73.64,55.0,88.2,100.0,70.0,0.71,4.92,79.99,test
PI0000100,T000013,POI0039,November,afternoon,Z04,50.2,26.96,3379.0,57.69,31.04,15.0,76.8,100.0,88.0,11.16,20.08,54.1,test
PI0000101,T000013,POI0020,November,afternoon,Z04,5.4,0.53,99.7,77.9,48.88,55.0,85.2,100.0,61.3,0.37,2.16,66.55,test
PI0000102,T000013,POI0043,November,afternoon,Z04,103.8,57.03,1162.3,71.12,55.76,61.0,90.0,100.0,62.9,0.35,41.52,88.5,test
PI0000103,T000013,POI0050,November,evening,Z04,182.1,97.33,1792.2,63.86,57.64,41.0,84.9,100.0,82.4,0.13,72.84,58.19,test
PI0000104,T000013,POI0057,November,evening,Z04,100.3,53.22,1093.9,56.64,72.32,39.0,86.85,100.0,60.6,0.72,40.12,68.29,test
PI0000105,T000014,POI0025,September,morning,Z05,13.9,0.44,110.0,85.69,66.0,48.88,82.5,100.0,75.9,1.05,5.56,67.79,train
PI0000106,T000014,POI0018,September,afternoon,Z05,15.9,8.61,599.8,73.1,47.0,15.0,71.0,100.0,86.2,4.42,6.36,55.84,train
PI0000107,T000014,POI0059,September,evening,Z05,61.1,39.15,742.8,61.11,64.0,59.0,92.5,100.0,79.4,0.25,24.44,74.42,train
PI0000108,T000014,POI0002,September,afternoon,Z05,6.4,3.57,76.3,60.36,62.0,55.0,94.0,100.0,67.0,0.14,2.56,70.35,train
PI0000109,T000014,POI0006,September,evening,Z05,6.4,3.57,62.3,66.9,57.0,50.42,78.0,100.0,64.0,0.0,2.56,63.04,train
PI0000110,T000014,POI0056,September,afternoon,Z05,61.1,39.15,1966.8,75.54,70.0,44.62,60.75,100.0,50.2,12.77,24.44,67.51,train
PI0000111,T000014,POI0040,September,morning,Z05,35.5,18.74,315.5,74.56,71.0,45.0,80.0,100.0,45.0,0.0,14.2,81.71,train
PI0000112,T000014,POI0019,September,evening,Z05,20.9,12.05,207.7,75.78,55.0,85.0,80.5,100.0,65.5,0.0,8.36,79.66,train
PI0000113,T000015,POI0052,December,morning,Z05,139.6,74.19,1436.5,61.53,73.2,87.0,73.95,100.0,88.6,0.0,55.84,53.03,train
PI0000114,T000015,POI0056,December,afternoon,Z05,61.1,39.15,3482.8,79.46,46.32,65.0,77.85,100.0,50.2,30.88,24.44,59.74,train
PI0000115,T000015,POI0036,December,evening,Z05,19.8,10.31,192.0,64.2,61.24,73.0,72.35,100.0,45.7,0.0,7.92,62.61,train
PI0000116,T000015,POI0006,December,afternoon,Z05,6.4,3.57,62.3,74.12,68.04,69.0,74.4,100.0,64.0,0.0,2.56,69.5,train
PI0000117,T000015,POI0010,December,evening,Z05,9.6,5.48,2422.3,67.24,76.76,71.0,72.0,100.0,86.1,25.89,3.84,77.25,train
PI0000118,T000015,POI0044,December,afternoon,Z05,81.3,42.34,1748.6,52.41,66.04,56.0,72.2,100.0,54.5,11.78,32.52,68.04,train
PI0000119,T000015,POI0033,December,evening,Z05,19.8,10.31,1416.0,66.22,61.56,44.0,72.5,100.0,54.6,13.68,7.92,52.75,train
PI0000120,T000015,POI0020,December,evening,Z05,20.9,12.05,304.7,64.82,48.88,84.0,69.9,100.0,61.3,1.08,8.36,56.43,train
PI0000121,T000016,POI0042,January,evening,Z02,41.6,24.46,906.6,38.4,59.0,46.0,71.0,52.0,66.8,15.45,16.64,48.91,train
PI0000122,T000016,POI0009,January,morning,Z02,14.5,0.33,6099.2,75.51,47.0,67.0,75.55,52.0,61.1,100.0,5.8,60.46,train
PI0000123,T000016,POI0053,January,evening,Z02,142.0,89.69,1822.5,34.33,73.0,39.0,72.35,55.0,54.4,7.76,56.8,53.31,train
PI0000124,T000016,POI0040,January,afternoon,Z02,41.6,24.46,396.6,68.93,66.0,73.0,74.0,76.0,45.0,0.0,16.64,73.31,train
PI0000125,T000016,POI0038,January,afternoon,Z02,41.6,24.46,550.6,83.76,58.0,62.0,72.8,15.0,59.1,4.67,16.64,63.49,train
PI0000126,T000016,POI0050,January,afternoon,Z02,142.0,89.69,1592.5,83.27,43.0,79.0,73.2,26.0,82.4,0.79,56.8,52.62,train
PI0000127,T000016,POI0003,January,afternoon,Z02,3.2,1.95,180.8,71.38,71.0,55.0,70.9,48.0,70.0,4.42,1.28,76.84,train
PI0000128,T000016,POI0056,January,afternoon,Z02,80.8,42.78,2757.3,76.11,6.0,65.0,77.85,34.0,50.2,59.39,32.32,33.91,train
PI0000129,T000017,POI0047,January,morning,Z09,60.3,37.71,760.6,65.17,76.0,88.0,69.2,100.0,70.7,0.45,24.12,66.78,validation
PI0000130,T000017,POI0055,January,morning,Z09,69.0,39.06,877.0,72.55,68.0,83.0,73.0,100.0,55.1,2.1,27.6,70.89,validation
PI0000131,T000017,POI0032,January,morning,Z09,119.4,74.3,1295.6,70.94,59.0,76.0,69.1,100.0,74.7,0.67,47.76,65.23,validation
PI0000132,T000017,POI0011,January,afternoon,Z09,139.4,87.12,1608.2,69.34,69.0,73.0,70.15,100.0,59.9,2.79,55.76,66.46,validation
PI0000133,T000017,POI0053,January,morning,Z09,10.9,0.35,172.5,62.87,71.0,88.0,72.35,100.0,54.4,2.66,4.36,80.66,validation
PI0000134,T000017,POI0056,January,morning,Z09,69.0,39.06,1993.0,53.74,70.0,68.0,77.85,100.0,50.2,19.88,27.6,53.49,validation
PI0000135,T000017,POI0057,January,afternoon,Z09,69.0,39.06,827.0,55.2,93.0,75.0,72.55,100.0,60.6,1.31,27.6,67.79,validation
PI0000136,T000017,POI0046,January,afternoon,Z09,60.3,37.71,826.6,76.35,73.0,59.0,71.35,100.0,59.8,1.5,24.12,62.16,validation
PI0000137,T000018,POI0045,November,morning,Z01,71.1,43.86,1009.9,76.82,78.0,68.0,89.25,100.0,72.7,3.72,28.44,64.03,train
PI0000138,T000018,POI0015,November,afternoon,Z01,8.5,5.16,489.6,77.63,66.0,84.0,86.5,100.0,55.8,7.27,3.4,79.94,train
PI0000139,T000018,POI0050,November,afternoon,Z01,151.8,84.05,1528.5,61.92,62.0,79.0,84.0,100.0,82.4,0.32,60.72,71.09,train
PI0000140,T000018,POI0043,November,evening,Z01,71.1,43.86,853.9,65.24,55.0,61.0,92.5,100.0,62.9,0.8,28.44,66.02,train
PI0000141,T000018,POI0027,November,evening,Z01,7.0,3.73,157.5,80.59,52.0,81.0,100.0,100.0,61.5,1.61,2.8,85.6,train
PI0000142,T000018,POI0054,November,evening,Z01,151.8,84.05,1535.5,78.13,77.0,56.0,100.0,100.0,79.8,0.45,60.72,71.14,train
PI0000143,T000018,POI0015,November,afternoon,Z01,8.5,5.16,489.6,77.63,66.0,84.0,86.5,100.0,55.8,7.27,3.4,73.3,train
PI0000144,T000018,POI0042,November,evening,Z01,37.7,21.59,691.1,71.97,63.0,46.0,95.0,100.0,66.8,5.55,15.08,63.8,train
PI0000145,T000019,POI0056,January,evening,Z08,14.2,9.2,1427.1,68.94,72.0,63.0,70.95,100.0,50.2,27.4,5.68,68.91,train
PI0000146,T000019,POI0016,January,morning,Z08,92.1,54.2,1018.0,75.59,87.0,85.0,87.75,100.0,69.1,0.0,36.84,79.29,train
PI0000147,T000019,POI0008,January,morning,Z08,95.8,52.69,957.2,71.11,76.0,53.0,87.9,100.0,71.5,0.0,38.32,78.36,train
PI0000148,T000019,POI0030,January,evening,Z08,71.6,42.09,1130.4,66.15,92.0,48.0,80.7,100.0,75.2,8.94,28.64,81.08,train
PI0000149,T000019,POI0014,January,evening,Z08,92.1,54.2,4407.0,86.01,69.0,50.0,81.45,100.0,88.2,74.4,36.84,62.22,train
PI0000150,T000019,POI0054,January,morning,Z08,71.3,37.85,690.4,73.45,81.0,70.0,83.4,100.0,79.8,0.53,28.52,83.52,train
PI0000151,T000019,POI0018,January,afternoon,Z08,92.1,54.2,1450.0,79.31,91.0,15.0,77.1,100.0,86.2,9.48,36.84,80.03,train
PI0000152,T000019,POI0052,January,morning,Z08,71.3,37.85,666.4,74.51,100.0,87.0,82.65,100.0,88.6,0.0,28.52,91.79,train
PI0000153,T000020,POI0002,December,afternoon,Z09,155.0,84.0,1691.9,56.4,69.8,55.0,89.1,100.0,67.0,0.58,62.0,62.15,train
PI0000154,T000020,POI0019,December,afternoon,Z09,164.4,89.55,1509.3,77.05,78.2,75.0,82.8,100.0,65.5,0.0,65.76,73.15,train
PI0000155,T000020,POI0022,December,afternoon,Z09,164.4,89.55,5801.3,86.14,25.8,15.0,84.0,100.0,55.1,83.49,65.76,44.58,train
PI0000156,T000020,POI0044,December,afternoon,Z09,60.3,37.71,1875.6,49.56,61.4,56.0,87.9,100.0,54.5,22.24,24.12,46.33,train
PI0000157,T000020,POI0006,December,morning,Z09,155.0,84.0,1661.9,72.24,49.4,92.0,81.3,100.0,64.0,0.0,62.0,73.96,train
PI0000158,T000020,POI0012,December,afternoon,Z09,139.4,87.12,1433.2,79.84,47.2,73.0,83.1,100.0,66.6,0.0,55.76,63.56,train
PI0000159,T000020,POI0022,December,evening,Z09,164.4,89.55,5801.3,86.14,25.8,95.0,84.0,100.0,55.1,83.49,65.76,57.75,train
PI0000160,T000020,POI0017,December,morning,Z09,147.6,81.7,1571.0,62.55,71.0,64.0,86.4,100.0,60.8,0.54,59.04,59.33,train
PI0000161,T000021,POI0028,September,evening,Z01,7.0,3.73,71.5,65.31,68.0,66.0,90.0,100.0,63.8,0.0,2.8,69.52,train
PI0000162,T000021,POI0011,September,afternoon,Z01,3.8,2.02,209.0,53.44,69.0,73.0,85.95,100.0,59.9,4.69,1.52,80.51,train
PI0000163,T000021,POI0005,September,evening,Z01,12.0,0.34,2490.0,75.62,74.0,18.55,87.15,100.0,68.9,66.56,4.8,75.31,train
PI0000164,T000021,POI0005,September,afternoon,Z01,12.0,0.34,2490.0,75.62,74.0,45.47,87.15,100.0,68.9,66.56,4.8,72.89,train
PI0000165,T000021,POI0055,September,evening,Z01,69.7,44.97,1016.6,65.91,68.0,55.0,85.5,100.0,55.1,3.54,27.88,71.75,train
PI0000166,T000021,POI0015,September,morning,Z01,8.5,5.16,489.6,65.1,68.0,84.0,86.4,100.0,55.8,10.42,3.4,67.64,train
PI0000167,T000021,POI0057,September,evening,Z01,69.7,44.97,966.6,84.85,93.0,18.39,86.85,100.0,60.6,2.2,27.88,79.34,train
PI0000168,T000021,POI0042,September,morning,Z01,37.7,21.59,691.1,57.0,52.0,82.0,88.5,100.0,66.8,7.96,15.08,64.44,train
PI0000169,T000022,POI0014,December,afternoon,Z05,15.9,8.61,5716.8,84.4,30.0,64.0,81.45,100.0,88.2,75.26,6.36,58.97,test
PI0000170,T000022,POI0003,December,evening,Z05,6.4,3.57,208.3,77.71,71.0,93.0,88.2,100.0,70.0,1.98,2.56,80.94,test
PI0000171,T000022,POI0033,December,evening,Z05,19.8,10.31,1058.0,74.09,66.0,44.0,87.0,100.0,54.6,11.75,7.92,69.91,test
PI0000172,T000022,POI0040,December,evening,Z05,35.5,18.74,315.5,79.37,66.0,84.0,82.5,100.0,45.0,0.0,14.2,77.44,test
PI0000173,T000022,POI0042,December,afternoon,Z05,35.5,18.74,825.5,68.58,59.0,71.0,88.5,100.0,66.8,6.92,14.2,61.37,test
PI0000174,T000022,POI0008,December,morning,Z05,9.6,5.48,105.3,66.81,67.0,53.0,87.9,100.0,71.5,0.0,3.84,67.28,test
PI0000175,T000022,POI0045,December,evening,Z05,81.3,42.34,1026.6,75.85,64.0,45.0,88.05,100.0,72.7,4.5,32.52,78.11,test
PI0000176,T000022,POI0029,December,afternoon,Z05,13.9,0.44,308.0,75.07,46.0,70.0,88.5,100.0,58.1,4.08,5.56,80.85,test
PI0000177,T000023,POI0043,January,morning,Z03,102.7,54.77,1007.7,80.26,55.0,60.0,71.5,100.0,62.9,0.37,41.08,68.28,train
PI0000178,T000023,POI0031,January,evening,Z03,28.4,15.27,277.0,68.97,50.0,49.0,72.0,100.0,58.3,0.2,11.36,78.26,train
PI0000179,T000023,POI0052,January,evening,Z03,145.6,86.76,1508.7,75.69,66.0,93.0,73.95,100.0,88.6,0.0,58.24,84.71,train
PI0000180,T000023,POI0033,January,morning,Z03,28.4,15.27,794.0,71.88,91.0,81.0,72.5,100.0,54.6,4.61,11.36,86.51,train
PI0000181,T000023,POI0025,January,evening,Z03,15.9,8.18,244.9,86.75,61.0,43.0,73.5,100.0,75.9,0.88,6.36,78.6,train
PI0000182,T000023,POI0049,January,afternoon,Z03,145.6,86.76,1517.7,61.51,70.0,81.0,70.9,100.0,79.2,0.08,58.24,64.83,train
PI0000183,T000023,POI0021,January,evening,Z03,5.4,3.33,357.6,77.82,68.0,58.0,75.5,100.0,79.2,2.52,2.16,82.06,train
