interaction_id,traveller_id,hotel_id,month,nights,budget,hotel_price,comfort_match,party_match,accessibility_match,budget_fit,location_quality,amenity_match,route_efficiency,context_component,excessive_cost_penalty,synthetic_suitability_score,split
HI0000036,T000009,H0008,November,6,132862,1314.0,16.0,61.64,100.0,100.0,46.48,37.5,67.15,100.0,0.0,77.22,train
HI0000037,T000010,H0021,May,2,12148,1497.0,100.0,66.0,100.0,100.0,66.28,37.5,87.1,100.0,0.0,100.0,train
HI0000038,T000010,H0034,May,2,12148,4196.0,72.0,64.0,100.0,12.16,52.96,75.0,74.8,100.0,76.86,77.58,train
HI0000039,T000010,H0009,May,2,12148,4070.0,72.0,56.0,100.0,17.2,61.24,75.0,83.8,100.0,72.45,60.33,train
HI0000040,T000010,H0015,May,2,12148,24244.0,16.0,65.0,100.0,0.0,67.72,50.0,85.75,100.0,100.0,41.13,train
HI0000041,T000011,H0032,March,3,101774,3917.0,72.0,65.69,100.0,95.38,44.44,37.5,74.5,100.0,6.73,94.47,test
HI0000042,T000011,H0035,March,3,101774,25212.0,16.0,78.02,100.0,0.0,53.08,100.0,74.35,100.0,100.0,50.2,test
HI0000043,T000011,H0024,March,3,101774,2813.0,100.0,61.46,100.0,100.0,67.36,62.5,87.4,100.0,0.0,100.0,test
HI0000044,T000011,H0033,March,3,101774,10987.0,44.0,73.97,100.0,0.0,67.72,75.0,80.35,100.0,100.0,55.91,test
HI0000045,T000012,H0014,September,7,68672,11338.0,100.0,54.0,100.0,73.29,61.6,50.0,80.8,100.0,23.37,87.23,train
HI0000046,T000012,H0025,September,7,68672,27248.0,72.0,75.0,100.0,0.0,52.12,62.5,81.7,100.0,100.0,60.22,train
HI0000047,T000012,H0037,September,7,68672,1947.0,44.0,75.0,100.0,100.0,59.8,50.0,83.5,66.83,0.0,100.0,train
HI0000048,T000012,H0039,September,7,68672,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,66.31,100.0,58.02,train
HI0000049,T000013,H0023,November,1,44898,24419.0,72.0,65.84,100.0,0.0,73.0,75.0,83.95,100.0,100.0,57.06,test
HI0000050,T000013,H0006,November,1,44898,2830.0,44.0,62.27,100.0,100.0,60.88,37.5,81.1,100.0,0.0,96.21,test
HI0000051,T000013,H0020,November,1,44898,3776.0,72.0,52.4,100.0,100.0,82.72,75.0,91.0,100.0,0.0,94.11,test
HI0000052,T000013,H0016,November,1,44898,9320.0,100.0,82.43,100.0,100.0,55.6,75.0,81.55,100.0,0.0,100.0,test
HI0000053,T000014,H0015,September,3,30161,24244.0,44.0,65.0,100.0,0.0,67.72,50.0,85.75,100.0,100.0,39.97,train
HI0000054,T000014,H0005,September,3,30161,5001.0,100.0,66.0,100.0,90.85,61.6,62.5,79.45,81.21,13.35,100.0,train
HI0000055,T000014,H0036,September,3,30161,3166.0,100.0,87.0,100.0,100.0,47.92,37.5,69.55,100.0,0.0,100.0,train
HI0000056,T000014,H0037,September,3,30161,1947.0,72.0,75.0,100.0,100.0,59.8,50.0,83.5,77.06,0.0,91.15,train
HI0000057,T000015,H0021,December,3,46031,1497.0,72.0,44.12,100.0,100.0,66.28,37.5,87.1,100.0,0.0,88.83,train
HI0000058,T000015,H0019,December,3,46031,3860.0,100.0,71.1,100.0,100.0,63.16,62.5,77.2,100.0,0.0,94.45,train
HI0000059,T000015,H0035,December,3,46031,25212.0,44.0,69.26,100.0,0.0,53.08,100.0,74.35,100.0,100.0,49.73,train
HI0000060,T000015,H0009,December,3,46031,4070.0,100.0,60.98,100.0,100.0,61.24,75.0,83.8,100.0,0.0,99.9,train
HI0000061,T000016,H0030,January,3,23760,1633.0,100.0,61.0,27.0,100.0,55.96,37.5,73.0,100.0,0.0,92.62,train
HI0000062,T000016,H0002,January,3,23760,27738.0,16.0,62.0,65.0,0.0,68.92,62.5,81.55,100.0,100.0,48.25,train
HI0000063,T000016,H0029,January,3,23760,3084.0,72.0,50.6,83.0,1.06,52.84,62.5,77.35,100.0,57.72,59.8,train
HI0000064,T000016,H0028,January,3,23760,4489.0,72.0,51.0,100.0,0.0,60.04,62.5,84.25,100.0,87.11,53.81,train
HI0000065,T000017,H0020,January,2,30136,3776.0,44.0,78.0,100.0,100.0,82.72,75.0,91.0,100.0,0.0,87.11,validation
HI0000066,T000017,H0001,January,2,30136,2049.0,16.0,56.0,100.0,100.0,48.4,25.0,74.8,100.0,0.0,85.96,validation
HI0000067,T000017,H0025,January,2,30136,27248.0,100.0,75.0,100.0,38.35,52.12,62.5,81.7,100.0,35.96,79.36,validation
HI0000068,T000017,H0036,January,2,30136,3166.0,44.0,87.0,100.0,100.0,47.92,37.5,69.55,100.0,0.0,78.24,validation
HI0000069,T000018,H0039,November,4,51396,25055.0,16.0,57.04,100.0,0.0,52.36,87.5,73.3,100.0,100.0,40.55,train
HI0000070,T000018,H0020,November,4,51396,3776.0,72.0,54.28,100.0,46.42,82.72,75.0,91.0,100.0,31.25,69.34,train
HI0000071,T000018,H0024,November,4,51396,2813.0,100.0,76.36,100.0,63.13,67.36,50.0,87.4,100.0,21.51,83.78,train
HI0000072,T000018,H0016,November,4,51396,9320.0,44.0,58.88,100.0,0.0,55.6,62.5,81.55,100.0,100.0,38.37,train
HI0000073,T000019,H0030,January,3,23425,1633.0,72.0,75.0,100.0,100.0,55.96,37.5,73.0,100.0,0.0,100.0,train
HI0000074,T000019,H0029,January,3,23425,3084.0,100.0,81.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,100.0,train
HI0000075,T000019,H0020,January,3,23425,3776.0,100.0,69.0,100.0,100.0,82.72,75.0,91.0,100.0,0.0,96.64,train
HI0000076,T000019,H0016,January,3,23425,9320.0,72.0,59.0,100.0,2.48,55.6,62.5,81.55,100.0,85.33,52.74,train
HI0000077,T000020,H0034,December,4,49349,4196.0,72.0,53.36,100.0,100.0,52.96,75.0,74.8,100.0,0.0,98.08,train
HI0000078,T000020,H0002,December,4,49349,27738.0,72.0,40.11,100.0,0.0,68.92,62.5,81.55,100.0,87.13,55.73,train
HI0000079,T000020,H0027,December,4,49349,11145.0,100.0,67.9,100.0,100.0,68.2,75.0,86.05,100.0,0.0,99.52,train
HI0000080,T000020,H0031,December,4,49349,6095.0,72.0,76.91,100.0,100.0,62.08,62.5,77.5,100.0,0.0,90.21,train
HI0000081,T000021,H0021,September,4,35827,1497.0,44.0,66.0,100.0,100.0,66.28,37.5,87.1,100.0,0.0,90.79,train
HI0000082,T000021,H0039,September,4,35827,25055.0,72.0,73.0,100.0,0.0,52.36,87.5,73.3,82.25,100.0,63.78,train
HI0000083,T000021,H0038,September,4,35827,9325.0,100.0,83.0,100.0,88.35,57.88,62.5,81.7,72.14,6.79,97.48,train
HI0000084,T000021,H0028,September,4,35827,4489.0,72.0,69.0,100.0,100.0,60.04,62.5,84.25,100.0,0.0,90.52,train
HI0000085,T000022,H0032,December,3,37920,3917.0,100.0,64.0,100.0,100.0,44.44,37.5,74.5,100.0,0.0,100.0,test
HI0000086,T000022,H0023,December,3,37920,24419.0,44.0,64.4,100.0,0.0,73.0,62.5,83.95,100.0,100.0,46.48,test
HI0000087,T000022,H0006,December,3,37920,2830.0,72.0,75.0,100.0,100.0,60.88,37.5,81.1,100.0,0.0,93.6,test
HI0000088,T000022,H0002,December,3,37920,27738.0,44.0,62.0,100.0,0.0,68.92,62.5,81.55,100.0,100.0,46.11,test
HI0000089,T000023,H0016,January,2,40258,9320.0,72.0,58.88,100.0,24.04,55.6,62.5,81.55,100.0,66.47,57.56,train
HI0000090,T000023,H0018,January,2,40258,5949.0,100.0,59.8,100.0,94.92,56.08,25.0,80.5,100.0,4.44,84.37,train
HI0000091,T000023,H0038,January,2,40258,9325.0,72.0,68.08,100.0,25.67,57.88,62.5,81.7,100.0,65.04,66.6,train
HI0000092,T000023,H0026,January,2,40258,1802.0,72.0,48.76,100.0,100.0,56.08,25.0,80.35,100.0,0.0,82.07,train
HI0000093,T000024,H0015,March,1,34207,24244.0,100.0,83.17,100.0,99.11,67.72,62.5,85.75,100.0,0.52,99.23,train
HI0000094,T000024,H0010,March,1,34207,2651.0,16.0,22.63,100.0,100.0,57.16,25.0,74.8,100.0,0.0,64.77,train
HI0000095,T000024,H0033,March,1,34207,10987.0,72.0,73.97,100.0,100.0,67.72,75.0,80.35,100.0,0.0,99.6,train
HI0000096,T000024,H0038,March,1,34207,9325.0,72.0,54.65,100.0,100.0,57.88,62.5,81.7,100.0,0.0,100.0,train
HI0000097,T000025,H0007,October,2,46425,27129.0,72.0,61.64,100.0,0.0,62.92,100.0,84.4,100.0,62.46,56.72,train
HI0000098,T000025,H0014,October,2,46425,11338.0,100.0,56.49,100.0,100.0,61.6,62.5,80.8,100.0,0.0,100.0,train
HI0000099,T000025,H0036,October,2,46425,3166.0,72.0,49.68,100.0,100.0,47.92,37.5,69.55,100.0,0.0,88.22,train
HI0000100,T000025,H0024,October,2,46425,2813.0,44.0,61.46,100.0,100.0,67.36,62.5,87.4,100.0,0.0,91.79,train
HI0000101,T000026,H0007,December,1,40080,27129.0,100.0,61.64,100.0,100.0,62.92,100.0,84.4,100.0,0.0,100.0,train
HI0000102,T000026,H0025,December,1,40080,27248.0,100.0,57.22,100.0,88.13,52.12,75.0,81.7,100.0,10.39,93.11,train
HI0000103,T000026,H0011,December,1,40080,6631.0,44.0,50.97,100.0,100.0,60.4,75.0,78.55,100.0,0.0,86.65,train
HI0000104,T000026,H0013,December,1,40080,4412.0,44.0,58.33,100.0,100.0,74.56,62.5,86.65,100.0,0.0,92.65,train
HI0000105,T000027,H0040,October,3,20947,4665.0,100.0,49.0,52.0,86.71,54.88,50.0,73.9,100.0,7.75,87.69,train
HI0000106,T000027,H0008,October,3,20947,1314.0,72.0,61.64,54.0,100.0,46.48,37.5,67.15,100.0,0.0,93.46,train
HI0000107,T000027,H0038,October,3,20947,9325.0,72.0,78.2,92.0,0.0,57.88,62.5,81.7,100.0,100.0,60.93,train
HI0000108,T000027,H0027,October,3,20947,11145.0,72.0,78.2,86.0,0.0,68.2,62.5,86.05,100.0,100.0,53.78,train
HI0000109,T000028,H0002,January,2,26300,27738.0,100.0,78.0,100.0,35.08,68.92,62.5,81.55,100.0,37.87,85.58,train
HI0000110,T000028,H0029,January,2,26300,3084.0,44.0,81.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,81.37,train
HI0000111,T000028,H0017,January,2,26300,2123.0,16.0,82.0,100.0,100.0,75.28,75.0,85.0,100.0,0.0,99.44,train
HI0000112,T000028,H0016,January,2,26300,9320.0,72.0,59.0,100.0,100.0,55.6,62.5,81.55,100.0,0.0,84.85,train
HI0000113,T000029,H0004,February,6,71045,4879.0,100.0,79.12,100.0,100.0,58.72,75.0,78.25,100.0,0.0,100.0,train
HI0000114,T000029,H0039,February,6,71045,25055.0,44.0,82.43,100.0,0.0,52.36,100.0,73.3,100.0,100.0,49.59,train
HI0000115,T000029,H0008,February,6,71045,1314.0,72.0,70.29,100.0,100.0,46.48,50.0,67.15,100.0,0.0,98.67,train
HI0000116,T000029,H0022,February,6,71045,7622.0,72.0,38.09,100.0,76.17,68.68,75.0,82.15,100.0,13.9,78.11,train
HI0000117,T000030,H0020,December,3,80846,3776.0,72.0,43.79,69.0,100.0,82.72,75.0,91.0,100.0,0.0,97.49,train
HI0000118,T000030,H0032,December,3,80846,3917.0,72.0,65.69,64.0,100.0,44.44,37.5,74.5,100.0,0.0,100.0,train
HI0000119,T000030,H0025,December,3,80846,27248.0,72.0,57.22,81.0,44.53,52.12,75.0,81.7,100.0,80.89,71.54,train
HI0000120,T000030,H0027,December,3,80846,11145.0,100.0,67.9,86.0,100.0,68.2,75.0,86.05,100.0,0.0,100.0,train
HI0000121,T000031,H0039,November,4,190046,25055.0,100.0,82.43,100.0,80.4,52.36,100.0,73.3,100.0,17.15,100.0,validation
HI0000122,T000031,H0035,November,4,190046,25212.0,100.0,78.02,100.0,100.0,53.08,100.0,74.35,100.0,0.0,96.44,validation
HI0000123,T000031,H0027,November,4,190046,11145.0,72.0,67.9,100.0,100.0,68.2,75.0,86.05,100.0,0.0,100.0,validation
HI0000124,T000031,H0013,November,4,190046,4412.0,44.0,58.33,100.0,100.0,74.56,62.5,86.65,100.0,0.0,95.49,validation
HI0000125,T000032,H0010,October,4,28844,2651.0,72.0,62.0,100.0,100.0,57.16,12.5,74.8,100.0,0.0,92.74,train
HI0000126,T000032,H0033,October,4,28844,10987.0,72.0,64.0,100.0,0.0,67.72,62.5,80.35,100.0,100.0,56.85,train
HI0000127,T000032,H0017,October,4,28844,2123.0,72.0,59.0,100.0,100.0,75.28,75.0,85.0,100.0,0.0,96.57,train
HI0000128,T000032,H0013,October,4,28844,4412.0,100.0,60.0,100.0,95.96,74.56,50.0,86.65,100.0,3.53,92.78,train
HI0000129,T000033,H0030,April,3,55993,1633.0,100.0,54.28,100.0,100.0,55.96,37.5,73.0,100.0,0.0,95.55,train
HI0000130,T000033,H0008,April,3,55993,1314.0,100.0,70.29,100.0,100.0,46.48,50.0,67.15,100.0,0.0,100.0,train
HI0000131,T000033,H0038,April,3,55993,9325.0,44.0,54.65,100.0,0.0,57.88,62.5,81.7,100.0,100.0,38.68,train
HI0000132,T000033,H0016,April,3,55993,9320.0,44.0,92.0,100.0,0.0,55.6,75.0,81.55,100.0,100.0,46.51,train
HI0000133,T000034,H0015,July,5,93775,24244.0,44.0,73.6,100.0,0.0,67.72,50.0,85.75,100.0,100.0,46.47,train
HI0000134,T000034,H0005,July,5,93775,5001.0,100.0,59.8,100.0,100.0,61.6,62.5,79.45,74.3,0.0,100.0,train
HI0000135,T000034,H0008,July,5,93775,1314.0,72.0,75.44,100.0,100.0,46.48,37.5,67.15,100.0,0.0,100.0,train
HI0000136,T000034,H0034,July,5,93775,4196.0,100.0,72.68,100.0,100.0,52.96,75.0,74.8,79.64,0.0,97.74,train
HI0000137,T000035,H0040,February,3,36411,4665.0,100.0,62.0,100.0,94.69,54.88,50.0,73.9,100.0,7.75,100.0,train
HI0000138,T000035,H0005,February,3,36411,5001.0,100.0,66.0,100.0,90.85,61.6,62.5,79.45,100.0,13.35,98.24,train
HI0000139,T000035,H0024,February,3,36411,2813.0,72.0,60.0,100.0,100.0,67.36,50.0,87.4,100.0,0.0,100.0,train
HI0000140,T000035,H0016,February,3,36411,9320.0,72.0,64.0,100.0,41.49,55.6,62.5,81.55,100.0,85.33,65.87,train
HI0000141,T000036,H0019,November,7,50573,3860.0,100.0,72.0,100.0,100.0,63.16,50.0,77.2,100.0,0.0,100.0,train
HI0000142,T000036,H0010,November,7,50573,2651.0,72.0,84.0,100.0,100.0,57.16,12.5,74.8,100.0,0.0,94.28,train
HI0000143,T000036,H0029,November,7,50573,3084.0,100.0,55.0,100.0,100.0,52.84,62.5,77.35,100.0,0.0,100.0,train
HI0000144,T000036,H0014,November,7,50573,11338.0,72.0,84.0,100.0,18.42,61.6,50.0,80.8,100.0,100.0,59.8,train
HI0000145,T000037,H0030,September,3,43118,1633.0,44.0,74.52,100.0,100.0,55.96,37.5,73.0,100.0,0.0,86.42,train
HI0000146,T000037,H0019,September,3,43118,3860.0,72.0,77.28,100.0,100.0,63.16,50.0,77.2,100.0,0.0,86.81,train
HI0000147,T000037,H0025,September,3,43118,27248.0,72.0,72.68,100.0,0.0,52.12,62.5,81.7,100.0,69.28,66.65,train
HI0000148,T000037,H0027,September,3,43118,11145.0,100.0,80.96,100.0,100.0,68.2,62.5,86.05,100.0,0.0,100.0,train
HI0000149,T000038,H0036,January,6,118644,3166.0,72.0,62.0,100.0,100.0,47.92,37.5,69.55,100.0,0.0,88.84,train
HI0000150,T000038,H0001,January,6,118644,2049.0,44.0,49.0,100.0,100.0,48.4,25.0,74.8,100.0,0.0,76.68,train
HI0000151,T000038,H0038,January,6,118644,9325.0,100.0,85.0,100.0,95.34,57.88,62.5,81.7,100.0,6.79,100.0,train
HI0000152,T000038,H0002,January,6,118644,27738.0,72.0,62.0,100.0,0.0,68.92,62.5,81.55,100.0,100.0,61.75,train
HI0000153,T000039,H0001,July,4,49408,2049.0,72.0,67.16,100.0,100.0,48.4,25.0,74.8,100.0,0.0,100.0,train
HI0000154,T000039,H0008,July,4,49408,1314.0,72.0,75.44,100.0,100.0,46.48,37.5,67.15,100.0,0.0,91.42,train
HI0000155,T000039,H0025,July,4,49408,27248.0,44.0,72.68,100.0,0.0,52.12,62.5,81.7,100.0,100.0,53.14,train
HI0000156,T000039,H0036,July,4,49408,3166.0,100.0,46.92,100.0,100.0,47.92,37.5,69.55,100.0,0.0,99.76,train
HI0000157,T000040,H0030,January,4,101613,1633.0,72.0,55.02,100.0,100.0,55.96,37.5,73.0,100.0,0.0,86.8,train
HI0000158,T000040,H0018,January,4,101613,5949.0,100.0,47.18,100.0,100.0,56.08,25.0,80.5,100.0,0.0,100.0,train
HI0000159,T000040,H0031,January,4,101613,6095.0,100.0,69.7,100.0,100.0,62.08,62.5,77.5,100.0,0.0,100.0,train
HI0000160,T000040,H0022,January,4,101613,7622.0,72.0,48.61,100.0,65.12,68.68,75.0,82.15,100.0,30.52,92.46,train
HI0000161,T000041,H0030,April,2,21728,1633.0,72.0,54.28,100.0,100.0,55.96,37.5,73.0,100.0,0.0,85.81,test
HI0000162,T000041,H0001,April,2,21728,2049.0,72.0,90.9,100.0,100.0,48.4,37.5,74.8,100.0,0.0,85.5,test
HI0000163,T000041,H0031,April,2,21728,6095.0,100.0,76.91,100.0,100.0,62.08,62.5,77.5,100.0,0.0,88.48,test
HI0000164,T000041,H0015,April,2,21728,24244.0,44.0,83.17,100.0,0.0,67.72,62.5,85.75,100.0,100.0,50.48,test
HI0000165,T000042,H0015,November,4,75359,24244.0,72.0,73.6,100.0,0.0,67.72,50.0,85.75,100.0,62.57,49.44,train
HI0000166,T000042,H0023,November,4,75359,24419.0,72.0,67.16,100.0,0.0,73.0,62.5,83.95,100.0,74.36,68.62,train
HI0000167,T000042,H0038,November,4,75359,9325.0,100.0,68.08,100.0,100.0,57.88,62.5,81.7,100.0,0.0,100.0,train
HI0000168,T000042,H0031,November,4,75359,6095.0,72.0,56.12,100.0,100.0,62.08,50.0,77.5,100.0,0.0,98.35,train
HI0000169,T000043,H0015,January,3,36133,24244.0,44.0,79.0,100.0,0.0,67.72,50.0,85.75,100.0,100.0,57.56,train
HI0000170,T000043,H0026,January,3,36133,1802.0,72.0,87.0,100.0,100.0,56.08,25.0,80.35,100.0,0.0,98.89,train
HI0000171,T000043,H0035,January,3,36133,25212.0,44.0,88.0,100.0,0.0,53.08,87.5,74.35,100.0,100.0,60.38,train
HI0000172,T000043,H0013,January,3,36133,4412.0,100.0,69.0,100.0,97.58,74.56,50.0,86.65,100.0,3.53,100.0,train
HI0000173,T000044,H0007,December,2,29659,27129.0,44.0,66.24,100.0,0.0,62.92,87.5,84.4,100.0,100.0,61.06,train
HI0000174,T000044,H0001,December,2,29659,2049.0,72.0,67.16,100.0,100.0,48.4,25.0,74.8,100.0,0.0,89.44,train
HI0000175,T000044,H0036,December,2,29659,3166.0,100.0,46.92,100.0,100.0,47.92,37.5,69.55,100.0,0.0,90.78,train
HI0000176,T000044,H0013,December,2,29659,4412.0,100.0,50.6,100.0,100.0,74.56,50.0,86.65,100.0,0.0,94.12,train
HI0000177,T000045,H0012,September,2,30662,5444.0,72.0,68.08,100.0,43.62,61.0,37.5,80.35,100.0,32.89,73.74,train
HI0000178,T000045,H0033,September,2,30662,10987.0,44.0,74.52,100.0,0.0,67.72,62.5,80.35,100.0,100.0,58.65,train
HI0000179,T000045,H0002,September,2,30662,27738.0,16.0,55.2,100.0,0.0,68.92,62.5,81.55,76.49,100.0,44.31,train
HI0000180,T000045,H0024,September,2,30662,2813.0,100.0,76.36,100.0,100.0,67.36,50.0,87.4,100.0,0.0,100.0,train
HI0000181,T000046,H0040,December,7,109623,4665.0,72.0,45.08,100.0,64.44,54.88,50.0,73.9,100.0,51.85,87.56,train
HI0000182,T000046,H0010,December,7,109623,2651.0,100.0,62.56,100.0,92.52,57.16,12.5,74.8,100.0,10.9,81.63,train
HI0000183,T000046,H0025,December,7,109623,27248.0,16.0,72.68,100.0,0.0,52.12,62.5,81.7,100.0,100.0,43.7,train
HI0000184,T000046,H0011,December,7,109623,6631.0,72.0,52.44,100.0,27.29,60.4,62.5,78.55,100.0,100.0,62.94,train
HI0000185,T000047,H0019,October,2,10613,3860.0,100.0,82.0,100.0,100.0,63.16,50.0,77.2,100.0,0.0,100.0,train
HI0000186,T000047,H0014,October,2,10613,11338.0,72.0,95.0,100.0,0.0,61.6,50.0,80.8,100.0,100.0,43.89,train
HI0000187,T000047,H0017,October,2,10613,2123.0,72.0,82.0,100.0,100.0,75.28,75.0,85.0,100.0,0.0,100.0,train
HI0000188,T000047,H0024,October,2,10613,2813.0,72.0,64.0,100.0,100.0,67.36,50.0,87.4,100.0,0.0,100.0,train
HI0000189,T000048,H0004,March,2,13384,4879.0,100.0,95.0,100.0,80.6,58.72,75.0,78.25,100.0,11.32,96.11,train
HI0000190,T000048,H0006,March,2,13384,2830.0,72.0,85.0,100.0,100.0,60.88,37.5,81.1,100.0,0.0,97.82,train
HI0000191,T000048,H0013,March,2,13384,4412.0,100.0,69.0,100.0,93.94,74.56,50.0,86.65,100.0,3.53,100.0,train
HI0000192,T000048,H0038,March,2,13384,9325.0,72.0,68.0,100.0,0.0,57.88,62.5,81.7,100.0,85.42,58.77,train
HI0000193,T000049,H0012,February,1,13892,5444.0,100.0,82.0,100.0,76.3,61.0,37.5,80.35,100.0,20.73,100.0,test
HI0000194,T000049,H0038,February,1,13892,9325.0,72.0,68.0,100.0,2.38,57.88,62.5,81.7,100.0,85.42,62.49,test
HI0000195,T000049,H0010,February,1,13892,2651.0,72.0,88.0,100.0,100.0,57.16,12.5,74.8,100.0,0.0,92.44,test
HI0000196,T000049,H0039,February,1,13892,25055.0,44.0,84.0,100.0,0.0,52.36,87.5,73.3,100.0,100.0,57.95,test
HI0000197,T000050,H0030,November,2,41178,1633.0,72.0,56.12,100.0,100.0,55.96,37.5,73.0,100.0,0.0,100.0,validation
HI0000198,T000050,H0040,November,2,41178,4665.0,100.0,45.08,100.0,100.0,54.88,50.0,73.9,100.0,0.0,100.0,validation
HI0000199,T000050,H0023,November,2,41178,24419.0,44.0,64.4,100.0,0.0,73.0,62.5,83.95,100.0,100.0,57.94,validation
HI0000200,T000050,H0018,November,2,41178,5949.0,100.0,45.08,100.0,94.92,56.08,25.0,80.5,100.0,4.44,92.59,validation
HI0000201,T000051,H0020,October,3,83113,3776.0,44.0,69.0,100.0,100.0,82.72,75.0,91.0,100.0,0.0,100.0,train
HI0000202,T000051,H0018,October,3,83113,5949.0,44.0,75.0,100.0,100.0,56.08,25.0,80.5,100.0,0.0,97.13,train
