interaction_id,traveller_id,poi_id,month,time_period,hotel_zone,travel_time_minutes,travel_distance_km,estimated_cost,preference_match,party_match,context_match,pace_match,accessibility_match,quality_component,cost_penalty,travel_burden,synthetic_suitability_score,split,traveller_type,adults,children,seniors,total_party_size,pace,budget_level,hotel_comfort,mobility_need,dietary_preference,preferred_transport,food_preference,culture_preference,nature_preference,beach_preference,wellness_preference,adventure_preference,nightlife_preference,shopping_preference,history_preference,photography_preference,wildlife_preference,spirituality_preference,category,typical_duration_minutes,accessibility_score,quality_score,food_affinity,culture_affinity,nature_affinity,beach_affinity,wellness_affinity,adventure_affinity,nightlife_affinity,shopping_affinity,history_affinity,photography_affinity,wildlife_affinity,spirituality_affinity
PI0000015,T000002,POI0026,April,afternoon,Z09,128.7,79.6,1664.6,64.31,74.0,72.0,83.7,100.0,51.4,5.06,51.48,66.17,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,museum,48,49,51.4,9,89,17,27,19,28,7,19,83,5,1,28
PI0000016,T000002,POI0057,April,morning,Z09,69.0,39.06,827.0,69.99,93.0,82.0,86.85,100.0,60.6,1.56,27.6,76.79,test,solo,1,0,0,1,balanced,medium,premium,no_restriction,no_preference,public_transport,15,68,74,96,32,37,46,18,12,47,22,66,waterfall,111,55,60.6,32,0,87,34,18,89,11,18,0,66,31,8
PI0000017,T000003,POI0060,February,morning,Z08,14.2,9.2,179.1,83.69,47.0,75.0,80.25,100.0,85.3,0.0,5.68,71.68,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,beach,155,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
PI0000018,T000003,POI0043,February,morning,Z08,10.2,0.86,48.1,75.92,68.0,60.0,90.0,100.0,62.9,0.51,4.08,71.66,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,waterfall,90,22,62.9,10,27,84,3,16,87,27,18,38,93,16,29
PI0000019,T000003,POI0010,February,morning,Z08,95.8,52.69,2026.2,57.88,53.0,62.0,88.5,100.0,86.1,12.7,38.32,75.97,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,food,100,78,86.1,81,83,3,17,16,22,13,25,32,21,24,20
PI0000020,T000003,POI0039,February,evening,Z08,55.8,29.79,1837.3,73.1,65.0,95.0,76.8,100.0,88.0,15.46,22.32,64.47,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,nightlife,178,84,88.0,83,6,17,0,9,22,95,100,12,37,22,18
PI0000021,T000003,POI0052,February,evening,Z08,71.3,37.85,666.4,75.35,68.0,93.0,82.65,100.0,88.6,0.0,28.52,100.0,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,beach,139,100,88.6,18,14,0,75,33,12,24,3,37,83,23,47
PI0000022,T000003,POI0006,February,afternoon,Z08,79.2,48.0,855.8,83.94,57.0,69.0,81.3,100.0,64.0,0.0,31.68,69.96,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,beach,148,86,64.0,23,10,15,80,18,32,21,18,7,71,14,19
PI0000023,T000003,POI0028,February,evening,Z08,71.6,42.09,723.4,76.04,68.0,66.0,90.0,100.0,63.8,0.0,28.64,76.29,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,shopping,90,70,63.8,90,28,27,24,0,21,13,74,40,40,36,23
PI0000024,T000003,POI0054,February,morning,Z08,71.3,37.85,690.4,45.52,71.0,70.0,83.4,100.0,79.8,0.29,28.52,67.0,train,solo,1,0,0,1,balanced,high,standard,no_restriction,no_preference,fastest,64,1,79,78,49,53,74,46,32,68,52,22,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0000025,T000004,POI0017,November,afternoon,Z03,10.9,0.43,21.5,60.62,72.0,61.0,86.4,100.0,60.8,0.77,4.36,69.6,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,religious_site,66,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
PI0000026,T000004,POI0042,November,evening,Z03,41.1,26.42,748.1,66.53,52.0,46.0,88.5,100.0,66.8,14.26,16.44,64.5,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,museum,80,52,66.8,32,86,31,23,13,28,21,20,96,0,2,5
PI0000027,T000004,POI0029,November,evening,Z03,15.9,8.18,327.9,75.82,65.0,56.0,88.5,100.0,58.1,8.93,6.36,65.14,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,nature,80,59,58.1,7,18,79,4,26,24,0,18,31,93,32,20
PI0000028,T000004,POI0060,November,morning,Z03,74.5,44.74,864.3,81.28,47.0,75.0,80.25,100.0,85.3,0.0,29.8,86.6,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,beach,155,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
PI0000029,T000004,POI0019,November,evening,Z03,5.4,3.33,61.6,62.88,55.0,85.0,82.8,100.0,65.5,0.0,2.16,69.43,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,shopping,138,41,65.5,82,21,18,29,24,28,11,92,39,8,9,36
PI0000030,T000004,POI0043,November,evening,Z03,102.7,54.77,1007.7,81.38,68.0,61.0,90.0,100.0,62.9,2.06,41.08,80.21,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,waterfall,90,22,62.9,10,27,84,3,16,87,27,18,38,93,16,29
PI0000031,T000004,POI0056,November,evening,Z03,74.5,44.74,2112.3,75.92,70.0,63.0,70.95,100.0,50.2,59.9,29.8,60.14,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,adventure,217,34,50.2,1,11,80,15,3,79,11,29,29,18,15,21
PI0000032,T000004,POI0013,November,morning,Z03,10.9,0.43,79.5,65.28,54.0,70.0,88.05,100.0,69.4,3.55,4.36,75.53,train,solo,1,0,0,1,balanced,low,budget,no_restriction,no_preference,fastest,65,51,83,87,53,85,49,15,52,72,62,13,fort,103,56,69.4,24,97,0,12,27,1,37,24,91,80,29,32
PI0000033,T000005,POI0045,November,morning,Z04,103.8,57.03,1536.3,82.72,64.0,68.0,72.15,100.0,72.7,5.94,41.52,81.14,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,museum,103,71,72.7,26,89,38,35,7,40,13,32,85,15,0,17
PI0000034,T000005,POI0040,November,afternoon,Z04,50.2,26.96,457.0,84.46,66.0,73.0,74.0,100.0,45.0,0.0,20.08,65.44,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,shopping,140,76,45.0,84,38,25,31,34,33,27,89,26,6,28,3
PI0000035,T000005,POI0021,November,morning,Z04,5.4,0.53,720.7,66.19,94.0,88.0,75.5,100.0,79.2,9.18,2.16,74.36,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,nature,170,99,79.2,18,12,89,22,2,19,23,9,22,73,36,34
PI0000036,T000005,POI0007,November,evening,Z04,11.5,6.52,106.9,76.86,51.0,92.0,75.35,100.0,59.6,0.0,4.6,77.76,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,beach,167,67,59.6,38,21,18,87,35,22,15,33,25,97,22,5
PI0000037,T000005,POI0004,November,evening,Z04,12.3,7.82,1186.8,72.71,77.0,84.0,70.95,100.0,78.8,13.51,4.92,75.14,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,food,79,59,78.8,88,88,27,18,14,19,0,2,4,8,24,9
PI0000038,T000005,POI0053,November,morning,Z04,182.1,97.33,2104.2,70.5,73.0,88.0,72.35,100.0,54.4,4.41,72.84,61.71,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,museum,107,55,54.4,9,88,31,20,4,3,2,0,85,33,19,0
PI0000039,T000005,POI0028,November,evening,Z04,21.0,11.17,218.7,84.7,64.0,66.0,71.5,100.0,63.8,0.0,8.4,86.08,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,shopping,90,70,63.8,90,28,27,24,0,21,13,74,40,40,36,23
PI0000040,T000005,POI0018,November,afternoon,Z04,6.3,3.23,969.9,86.95,35.0,15.0,75.8,100.0,86.2,11.61,2.52,73.66,test,seniors,1,0,2,3,packed,medium,premium,no_restriction,vegetarian,balanced,79,87,45,54,45,15,67,68,62,59,12,39,nightlife,176,57,86.2,86,37,21,26,19,17,78,88,9,27,33,24
PI0000041,T000006,POI0056,June,afternoon,Z08,14.2,9.2,3747.1,69.51,46.32,49.69,77.85,100.0,50.2,12.28,5.68,65.15,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,adventure,217,34,50.2,1,11,80,15,3,79,11,29,29,18,15,21
PI0000042,T000006,POI0026,June,evening,Z08,71.6,42.09,1485.4,69.49,58.52,42.0,69.4,100.0,51.4,2.62,28.64,70.85,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,museum,48,49,51.4,9,89,17,27,19,28,7,19,83,5,1,28
PI0000043,T000006,POI0049,June,afternoon,Z08,71.3,37.85,690.4,78.18,57.56,81.0,70.9,100.0,79.2,0.08,28.52,82.41,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,religious_site,78,80,79.2,4,87,42,25,15,13,15,16,81,30,0,91
PI0000044,T000006,POI0054,June,afternoon,Z08,71.3,37.85,727.4,78.78,72.12,66.0,69.3,100.0,79.8,0.21,28.52,94.65,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,cultural_site,46,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
PI0000045,T000006,POI0047,June,evening,Z08,10.2,0.86,90.1,75.48,53.76,38.0,69.2,100.0,70.7,0.29,4.08,77.22,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,religious_site,44,66,70.7,15,67,23,30,1,12,6,8,85,0,27,91
PI0000046,T000006,POI0029,June,afternoon,Z08,71.6,42.09,1234.4,77.04,68.32,70.0,71.0,100.0,58.1,1.76,28.64,74.74,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,nature,80,59,58.1,7,18,79,4,26,24,0,18,31,93,32,20
PI0000047,T000006,POI0017,June,afternoon,Z08,92.1,54.2,1056.0,78.25,66.6,61.0,70.3,100.0,60.8,0.13,36.84,66.65,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,religious_site,66,89,60.8,43,100,20,21,32,9,23,19,87,9,0,68
PI0000048,T000006,POI0037,June,evening,Z08,55.8,29.79,536.3,69.29,60.0,75.0,73.35,100.0,63.0,0.0,22.32,71.87,train,family,2,2,1,5,packed,high,standard,no_restriction,no_preference,fastest,76,74,78,40,64,54,39,44,60,67,80,91,market,127,84,63.0,76,85,16,15,27,24,23,88,27,0,15,0
PI0000049,T000007,POI0032,February,morning,Z08,61.1,33.99,668.7,58.95,59.0,76.0,69.1,100.0,74.7,2.6,24.44,65.31,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,cultural_site,42,42,74.7,19,83,18,19,22,31,6,5,76,23,34,81
PI0000050,T000007,POI0014,February,morning,Z08,92.1,54.2,4407.0,75.11,70.0,60.0,74.35,100.0,88.2,100.0,36.84,40.46,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,wellness,147,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
PI0000051,T000007,POI0051,February,morning,Z08,71.3,37.85,2490.4,83.46,79.0,78.0,75.1,100.0,74.2,100.0,28.52,58.64,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,wellness,162,53,74.2,27,19,89,14,100,1,35,36,9,46,31,31
PI0000052,T000007,POI0005,February,evening,Z08,79.2,48.0,3339.8,56.01,74.0,52.0,72.45,100.0,68.9,100.0,31.68,42.94,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,adventure,109,87,68.9,22,20,97,17,7,86,22,36,30,24,37,5
PI0000053,T000007,POI0018,February,evening,Z08,92.1,54.2,1450.0,77.27,47.0,95.0,75.8,100.0,86.2,26.74,36.84,77.27,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,nightlife,176,57,86.2,86,37,21,26,19,17,78,88,9,27,33,24
PI0000054,T000007,POI0032,February,afternoon,Z08,61.1,33.99,668.7,58.95,59.0,70.0,69.1,100.0,74.7,2.6,24.44,67.1,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,cultural_site,42,42,74.7,19,83,18,19,22,31,6,5,76,23,34,81
PI0000055,T000007,POI0002,February,evening,Z08,79.2,48.0,869.8,58.17,62.0,58.0,71.2,100.0,67.0,0.87,31.68,63.84,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,religious_site,84,96,67.0,10,89,33,18,9,10,27,28,89,12,22,85
PI0000056,T000007,POI0059,February,morning,Z08,14.2,9.2,203.1,60.44,64.0,85.0,71.5,100.0,79.4,1.49,5.68,72.77,test,solo,1,0,0,1,packed,low,standard,no_restriction,no_preference,balanced,67,28,65,72,76,10,91,23,3,55,37,82,cultural_site,90,76,79.4,21,84,23,33,0,31,20,17,73,26,0,90
PI0000057,T000008,POI0016,December,afternoon,Z06,32.9,17.46,310.6,76.07,87.0,66.0,88.75,100.0,69.1,0.0,13.16,64.98,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,beach,105,90,69.1,15,29,40,73,24,7,25,18,0,92,12,13
PI0000058,T000008,POI0014,December,morning,Z06,32.9,17.46,3699.6,78.49,69.0,60.0,78.25,100.0,88.2,91.36,13.16,55.71,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,wellness,147,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
PI0000059,T000008,POI0039,December,morning,Z06,20.2,10.78,1491.8,73.2,67.0,5.0,70.5,100.0,88.0,35.07,8.08,67.16,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,nightlife,178,84,88.0,83,6,17,0,9,22,95,100,12,37,22,18
PI0000060,T000008,POI0027,December,evening,Z06,17.9,9.21,267.1,74.21,88.0,81.0,100.0,100.0,61.5,2.32,7.16,86.37,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,photography,47,85,61.5,17,23,86,29,29,0,0,32,94,76,0,21
PI0000061,T000008,POI0018,December,morning,Z06,32.9,17.46,742.6,83.24,91.0,5.0,71.0,100.0,86.2,11.65,13.16,81.64,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,nightlife,176,57,86.2,86,37,21,26,19,17,78,88,9,27,33,24
PI0000062,T000008,POI0005,December,afternoon,Z06,19.2,11.42,2696.6,75.25,85.0,73.0,87.75,100.0,68.9,66.97,7.68,68.46,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,adventure,109,87,68.9,22,20,97,17,7,86,22,36,30,24,37,5
PI0000063,T000008,POI0021,December,evening,Z06,35.7,20.48,653.1,74.84,64.0,58.0,72.5,100.0,79.2,7.98,14.28,75.12,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,nature,170,99,79.2,18,12,89,22,2,19,23,9,22,73,36,34
PI0000064,T000008,POI0014,December,morning,Z06,32.9,17.46,3699.6,78.49,69.0,60.0,78.25,100.0,88.2,91.36,13.16,57.41,train,couple,2,0,0,2,easy_going,medium,budget,no_restriction,no_preference,lowest_cost,75,58,55,60,72,59,52,70,62,75,59,42,wellness,147,82,88.2,20,35,91,30,89,47,17,0,39,14,21,35
PI0000065,T000009,POI0016,November,morning,Z06,32.9,17.46,310.6,62.04,59.0,85.0,88.75,100.0,69.1,0.0,13.16,67.39,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,beach,105,90,69.1,15,29,40,73,24,7,25,18,0,92,12,13
PI0000066,T000009,POI0002,November,afternoon,Z06,19.2,11.42,247.6,59.3,60.0,55.0,94.0,100.0,67.0,0.38,7.68,89.59,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,religious_site,84,96,67.0,10,89,33,18,9,10,27,28,89,12,22,85
PI0000067,T000009,POI0036,November,morning,Z06,10.2,0.97,5.1,63.27,58.0,58.0,88.25,100.0,45.7,0.0,4.08,56.36,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,shopping,107,82,45.7,90,24,27,3,23,16,14,91,37,41,35,18
PI0000068,T000009,POI0060,November,morning,Z06,58.6,33.29,627.1,61.08,60.0,75.0,76.25,100.0,85.3,0.0,23.44,68.03,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,beach,155,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
PI0000069,T000009,POI0030,November,afternoon,Z06,17.9,9.21,1464.1,68.54,51.0,72.0,77.0,100.0,75.2,13.91,7.16,70.55,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,wildlife,152,28,75.2,23,15,86,23,6,14,37,6,0,0,85,20
PI0000070,T000009,POI0042,November,afternoon,Z06,20.2,10.78,1126.8,61.59,59.0,71.0,95.0,100.0,66.8,10.14,8.08,50.39,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,museum,80,52,66.8,32,86,31,23,13,28,21,20,96,0,2,5
PI0000071,T000009,POI0033,November,afternoon,Z06,10.2,0.97,1521.1,75.88,66.0,62.0,87.5,100.0,54.6,16.43,4.08,73.91,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,wildlife,110,31,54.6,39,12,100,17,4,20,7,10,24,26,80,31
PI0000072,T000009,POI0060,November,afternoon,Z06,58.6,33.29,627.1,61.08,60.0,50.0,76.25,100.0,85.3,0.0,23.44,64.07,train,seniors,1,0,3,4,easy_going,low,luxury,no_restriction,no_preference,balanced,22,13,67,12,50,69,58,19,80,71,73,13,beach,155,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
PI0000073,T000010,POI0027,May,evening,Z08,71.6,42.09,809.4,75.17,96.0,81.0,69.35,100.0,61.5,2.43,28.64,87.48,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,photography,47,85,61.5,17,23,86,29,29,0,0,32,94,76,0,21
PI0000074,T000010,POI0032,May,afternoon,Z08,61.1,33.99,668.7,69.99,59.0,70.0,69.1,100.0,74.7,1.19,24.44,76.01,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,cultural_site,42,42,74.7,19,83,18,19,22,31,6,5,76,23,34,81
PI0000075,T000010,POI0025,May,morning,Z08,71.6,42.09,826.4,71.47,66.0,82.0,73.5,100.0,75.9,2.91,28.64,72.33,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,waterfall,130,16,75.9,24,17,91,27,35,80,14,14,29,96,14,14
PI0000076,T000010,POI0032,May,morning,Z08,61.1,33.99,668.7,69.99,59.0,76.0,69.1,100.0,74.7,1.19,24.44,64.45,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,cultural_site,42,42,74.7,19,83,18,19,22,31,6,5,76,23,34,81
PI0000077,T000010,POI0060,May,morning,Z08,14.2,9.2,179.1,79.56,47.0,75.0,74.75,100.0,85.3,0.0,5.68,66.66,train,solo,1,0,0,1,packed,medium,budget,no_restriction,vegetarian,private_transport,73,58,83,87,97,8,16,39,49,60,71,48,beach,155,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
