poi_id,name,zone_id,category,latitude,longitude,typical_duration_minutes,opening_time,closing_time,morning_score,afternoon_score,evening_score,base_cost,child_cost,senior_cost,solo_suitability,couple_suitability,family_suitability,friends_suitability,senior_suitability,child_suitability,accessibility_score,quality_score,food_affinity,culture_affinity,nature_affinity,beach_affinity,wellness_affinity,adventure_affinity,nightlife_affinity,shopping_affinity,history_affinity,photography_affinity,wildlife_affinity,spirituality_affinity
POI0026,Candolim Museum Spot 26,Z05,museum,15.52746,73.76327,48,10:00,19:00,69,72,42,265,172,153,74,84,47,49,86,30,49,51.4,9,89,17,27,19,28,7,19,83,5,1,28
POI0027,Candolim Photography Spot 27,Z05,photography,15.53129,73.77095,47,11:00,21:00,94,65,81,86,50,47,96,88,65,52,95,47,85,61.5,17,23,86,29,29,0,0,32,94,76,0,21
POI0028,Candolim Shopping Spot 28,Z05,shopping,15.52348,73.76298,90,10:00,18:00,56,72,66,0,0,0,68,96,70,87,64,49,70,63.8,90,28,27,24,0,21,13,74,40,40,36,23
POI0029,Candolim Nature Spot 29,Z05,nature,15.52356,73.75202,80,09:00,21:00,80,70,56,186,105,115,65,77,86,62,46,79,59,58.1,7,18,79,4,26,24,0,18,31,93,32,20
POI0030,Candolim Wildlife Spot 30,Z05,wildlife,15.5566,73.76281,152,09:00,21:00,88,72,48,407,253,292,65,92,64,90,51,49,28,75.2,23,15,86,23,6,14,37,6,0,0,85,20
POI0031,Panjim Fort Spot 31,Z06,fort,15.49216,73.78996,100,09:00,22:00,70,63,49,24,10,17,69,78,49,50,56,39,83,58.3,11,92,15,14,30,20,23,20,87,88,0,27
POI0032,Panjim Cultural Site Spot 32,Z06,cultural_site,15.49869,73.82985,42,06:00,20:00,76,70,39,42,27,28,59,64,70,71,80,61,42,74.7,19,83,18,19,22,31,6,5,76,23,34,81
POI0033,Panjim Wildlife Spot 33,Z06,wildlife,15.49918,73.82315,110,09:00,20:00,81,62,44,541,358,325,61,73,65,91,66,49,31,54.6,39,12,100,17,4,20,7,10,24,26,80,31
POI0034,Panjim Nightlife Spot 34,Z06,nightlife,15.46765,73.81356,126,18:00,03:00,5,15,95,1857,1001,1151,15,54,30,81,70,0,78,59.7,85,25,33,39,23,27,75,84,31,30,22,30
POI0035,Panjim Market Spot 35,Z06,market,15.50017,73.79719,108,08:00,18:00,59,70,78,0,0,0,86,70,79,45,49,62,77,50.8,81,100,19,24,39,21,7,84,19,3,16,11
POI0036,Panjim Shopping Spot 36,Z06,shopping,15.4834,73.84292,107,09:00,20:00,58,77,73,0,0,0,79,75,69,79,58,55,82,45.7,90,24,27,3,23,16,14,91,37,41,35,18
POI0037,Old Goa Market Spot 37,Z07,market,15.51425,73.8923,127,07:00,21:00,64,67,75,0,0,0,69,86,62,57,57,62,84,63.0,76,85,16,15,27,24,23,88,27,0,15,0
POI0038,Old Goa Waterfall Spot 38,Z07,waterfall,15.5098,73.9403,116,09:00,19:00,69,62,48,91,42,63,86,67,67,64,58,79,15,59.1,28,21,78,9,13,89,8,25,5,83,21,49
POI0039,Old Goa Nightlife Spot 39,Z07,nightlife,15.50431,73.89828,178,19:00,02:00,5,15,95,1301,626,995,65,67,4,75,74,0,84,88.0,83,6,17,0,9,22,95,100,12,37,22,18
POI0040,Old Goa Shopping Spot 40,Z07,shopping,15.48093,73.92041,140,08:00,19:00,45,73,84,0,0,0,71,88,52,69,66,44,76,45.0,84,38,25,31,34,33,27,89,26,6,28,3
POI0041,Old Goa Viewpoint Spot 41,Z07,viewpoint,15.51016,73.90372,52,08:00,19:00,88,46,86,21,13,12,39,68,70,65,30,85,82,60.8,11,17,83,16,41,18,17,0,9,82,11,36
POI0042,Old Goa Museum Spot 42,Z07,museum,15.499,73.8794,80,06:00,20:00,82,71,46,297,144,213,52,52,97,63,59,87,52,66.8,32,86,31,23,13,28,21,20,96,0,2,5
POI0043,Margao Waterfall Spot 43,Z08,waterfall,15.26561,74.03183,90,07:00,21:00,60,61,61,43,24,24,68,67,50,55,71,39,22,62.9,10,27,84,3,16,87,27,18,38,93,16,29
POI0044,Margao Wildlife Spot 44,Z08,wildlife,15.28974,73.97035,104,09:00,19:00,72,56,44,477,333,244,61,61,61,48,73,62,36,54.5,30,14,83,11,0,3,0,0,5,35,84,35
POI0045,Margao Museum Spot 45,Z08,museum,15.29912,73.97726,103,08:00,20:00,68,74,45,199,106,133,96,69,60,78,64,64,71,72.7,26,89,38,35,7,40,13,32,85,15,0,17
POI0046,Margao Fort Spot 46,Z08,fort,15.29968,73.98959,87,10:00,19:00,82,59,60,94,53,47,73,59,39,64,65,43,100,59.8,18,78,27,27,27,38,37,15,87,80,20,12
POI0047,Margao Religious Site Spot 47,Z08,religious_site,15.29072,73.9565,44,11:00,20:00,88,66,38,28,19,19,76,81,52,90,54,56,66,70.7,15,67,23,30,1,12,6,8,85,0,27,91
POI0048,Margao Market Spot 48,Z08,market,15.26255,74.0324,98,07:00,22:00,50,79,71,0,0,0,58,80,79,71,61,100,60,46.3,78,80,19,1,22,31,23,72,18,28,0,7
POI0049,Palolem Religious Site Spot 49,Z09,religious_site,15.01355,74.02912,78,07:00,18:00,80,81,38,9,4,7,45,74,47,70,71,51,80,79.2,4,87,42,25,15,13,15,16,81,30,0,91
POI0050,Palolem Waterfall Spot 50,Z09,waterfall,14.99839,74.03719,124,06:00,19:00,89,79,41,17,7,9,87,71,67,62,43,68,26,82.4,34,0,82,18,0,85,34,6,24,77,11,37
POI0051,Palolem Wellness Spot 51,Z09,wellness,14.99264,73.99059,162,08:00,18:00,78,64,40,1824,1151,1207,79,83,56,61,78,60,53,74.2,27,19,89,14,100,1,35,36,9,46,31,31
POI0052,Palolem Beach Spot 52,Z09,beach,15.01715,74.04256,139,07:00,20:00,87,41,93,0,0,0,68,100,68,66,87,58,100,88.6,18,14,0,75,33,12,24,3,37,83,23,47
POI0053,Palolem Museum Spot 53,Z09,museum,15.02756,73.99584,107,11:00,18:00,88,79,39,167,80,89,71,78,95,75,73,95,55,54.4,9,88,31,20,4,3,2,0,85,33,19,0
POI0054,Palolem Cultural Site Spot 54,Z09,cultural_site,14.97635,74.02751,46,07:00,20:00,70,66,56,24,12,13,71,81,69,77,66,87,34,79.8,22,80,19,12,7,15,6,23,75,28,5,80
POI0055,Colva Museum Spot 55,Z10,museum,15.26294,73.92802,120,06:00,22:00,83,84,55,132,61,97,68,91,66,61,68,71,37,55.1,17,83,14,32,34,17,0,27,89,23,31,6
POI0056,Colva Adventure Spot 56,Z10,adventure,15.24993,73.89175,217,10:00,22:00,68,65,63,1248,804,712,70,72,72,79,6,75,34,50.2,1,11,80,15,3,79,11,29,29,18,15,21
POI0057,Colva Waterfall Spot 57,Z10,waterfall,15.30429,73.88856,111,09:00,21:00,82,75,39,82,44,62,93,62,76,64,68,74,55,60.6,32,0,87,34,18,89,11,18,0,66,31,8
POI0058,Colva Religious Site Spot 58,Z10,religious_site,15.30056,73.8926,89,11:00,18:00,64,78,54,20,10,10,86,46,81,87,67,90,76,68.6,36,89,22,17,15,23,16,19,85,11,26,100
POI0059,Colva Cultural Site Spot 59,Z10,cultural_site,15.2438,73.93204,90,09:00,20:00,85,66,59,24,13,15,64,72,62,43,73,72,76,79.4,21,84,23,33,0,31,20,17,73,26,0,90
POI0060,Colva Beach Spot 60,Z10,beach,15.26621,73.9298,155,07:00,21:00,75,50,80,0,0,0,47,62,75,57,60,61,92,85.3,48,6,18,99,34,11,22,20,23,79,18,0
