origin_zone,destination_zone,mode,distance_km,duration_minutes,estimated_cost,comfort,accessibility
Z01,Z08,taxi,43.86,71.1,810.9,65,86
Z01,Z08,rental_car,43.86,93.0,554.2,69,68
Z01,Z08,public_transport,43.86,130.1,72.0,46,34
Z01,Z09,walking,84.05,1266.0,0.0,41,26
Z01,Z09,scooter,84.05,155.4,259.6,67,20
Z01,Z09,taxi,84.05,151.8,1511.5,84,73
Z01,Z09,rental_car,84.05,147.8,951.2,75,70
Z01,Z09,public_transport,84.05,240.6,124.6,41,33
Z01,Z10,walking,44.97,595.7,0.0,36,47
Z01,Z10,scooter,44.97,85.0,141.2,55,21
Z01,Z10,taxi,44.97,69.7,884.6,76,62
Z01,Z10,rental_car,44.97,91.1,579.5,80,55
Z01,Z10,public_transport,44.97,120.7,69.0,57,32
Z02,Z01,walking,1.95,24.8,0.0,45,27
Z02,Z01,scooter,1.95,4.3,6.2,61,33
Z02,Z01,taxi,1.95,3.2,34.8,72,82
Z02,Z01,rental_car,1.95,4.1,25.2,73,60
Z02,Z01,public_transport,1.95,5.9,3.2,57,33
Z02,Z02,walking,0.33,5.8,0.0,41,29
Z02,Z02,scooter,0.33,7.6,3.8,54,23
Z02,Z02,taxi,0.33,14.5,7.2,69,66
Z02,Z02,rental_car,0.33,14.6,7.3,64,76
Z02,Z02,public_transport,0.33,11.4,5.7,54,31
Z02,Z03,walking,2.87,40.6,0.0,46,20
Z02,Z03,scooter,2.87,5.6,8.2,68,29
Z02,Z03,taxi,2.87,5.2,51.2,82,74
Z02,Z03,rental_car,2.87,5.1,35.6,75,79
Z02,Z03,public_transport,2.87,7.6,4.0,41,52
Z02,Z04,walking,6.04,81.6,0.0,38,40
Z02,Z04,scooter,6.04,12.5,16.8,49,35
Z02,Z04,taxi,6.04,11.8,107.1,82,67
Z02,Z04,rental_car,6.04,10.5,65.9,82,63
Z02,Z04,public_transport,6.04,18.0,9.7,53,44
Z02,Z05,walking,5.54,73.4,0.0,31,37
Z02,Z05,scooter,5.54,12.7,15.2,49,26
Z02,Z05,taxi,5.54,10.1,104.4,85,62
Z02,Z05,rental_car,5.54,11.6,62.3,77,65
Z02,Z05,public_transport,5.54,15.9,8.1,35,50
Z02,Z06,walking,12.88,168.8,0.0,33,45
Z02,Z06,scooter,12.88,29.1,37.2,46,39
Z02,Z06,taxi,12.88,25.2,215.3,89,61
Z02,Z06,rental_car,12.88,25.4,160.5,77,61
Z02,Z06,public_transport,12.88,33.3,17.7,37,50
Z02,Z07,walking,24.46,348.3,0.0,45,36
Z02,Z07,scooter,24.46,52.3,66.6,69,23
Z02,Z07,taxi,24.46,41.6,396.6,86,61
Z02,Z07,rental_car,24.46,52.0,279.3,72,79
Z02,Z07,public_transport,24.46,62.9,33.4,47,54
Z02,Z08,walking,50.96,758.3,0.0,32,37
Z02,Z08,scooter,50.96,96.7,138.4,52,26
Z02,Z08,taxi,50.96,93.9,944.4,78,82
Z02,Z08,rental_car,50.96,99.3,561.9,69,71
Z02,Z08,public_transport,50.96,157.5,80.4,38,37
Z02,Z09,walking,89.69,1270.4,0.0,53,45
Z02,Z09,scooter,89.69,161.6,245.5,55,25
Z02,Z09,taxi,89.69,142.0,1566.5,67,65
Z02,Z09,rental_car,89.69,184.6,1095.7,77,75
Z02,Z09,public_transport,89.69,265.9,130.6,38,45
Z02,Z10,walking,42.78,560.5,0.0,30,36
Z02,Z10,scooter,42.78,93.3,133.4,65,24
Z02,Z10,taxi,42.78,80.8,797.3,68,73
Z02,Z10,rental_car,42.78,85.2,511.7,64,60
Z02,Z10,public_transport,42.78,108.3,64.4,45,39
Z03,Z01,walking,4.68,58.2,0.0,32,27
Z03,Z01,scooter,4.68,9.3,13.5,52,36
Z03,Z01,taxi,4.68,8.3,91.3,87,83
Z03,Z01,rental_car,4.68,8.1,56.8,67,63
Z03,Z01,public_transport,4.68,14.0,7.6,43,37
Z03,Z02,walking,3.18,44.0,0.0,41,48
Z03,Z02,scooter,3.18,5.8,10.1,57,22
Z03,Z02,taxi,3.18,5.3,58.0,67,65
Z03,Z02,rental_car,3.18,5.5,39.7,61,63
Z03,Z02,public_transport,3.18,8.8,4.6,36,31
Z03,Z03,walking,0.43,12.6,0.0,35,30
Z03,Z03,scooter,0.43,6.4,3.2,68,43
Z03,Z03,taxi,0.43,10.9,5.5,88,65
Z03,Z03,rental_car,0.43,12.1,6.0,76,72
Z03,Z03,public_transport,0.43,13.2,6.6,52,34
Z03,Z04,walking,3.33,43.6,0.0,42,39
Z03,Z04,scooter,3.33,6.0,9.5,61,22
Z03,Z04,taxi,3.33,5.4,61.6,67,60
Z03,Z04,rental_car,3.33,6.3,36.7,75,58
Z03,Z04,public_transport,3.33,9.0,5.2,45,48
Z03,Z05,walking,8.18,111.4,0.0,44,31
Z03,Z05,scooter,8.18,16.8,24.4,63,23
Z03,Z05,taxi,8.18,15.9,141.9,65,73
Z03,Z05,rental_car,8.18,17.6,102.5,66,65
Z03,Z05,public_transport,8.18,20.4,11.1,36,41
Z03,Z06,walking,15.27,230.7,0.0,44,35
Z03,Z06,scooter,15.27,32.2,43.9,58,32
Z03,Z06,taxi,15.27,28.4,253.0,66,62
Z03,Z06,rental_car,15.27,28.0,165.4,62,84
Z03,Z06,public_transport,15.27,44.8,24.3,45,43
Z03,Z07,walking,26.42,352.8,0.0,45,46
Z03,Z07,scooter,26.42,50.5,86.3,57,32
Z03,Z07,taxi,26.42,41.1,451.1,71,73
Z03,Z07,rental_car,26.42,48.9,318.6,69,71
Z03,Z07,public_transport,26.42,70.1,39.8,57,34
Z03,Z08,walking,54.77,686.0,0.0,38,40
Z03,Z08,scooter,54.77,117.0,174.0,57,23
Z03,Z08,taxi,54.77,102.7,964.7,79,86
Z03,Z08,rental_car,54.77,95.4,596.6,60,55
Z03,Z08,public_transport,54.77,152.9,79.8,43,44
Z03,Z09,walking,86.76,1237.2,0.0,44,45
Z03,Z09,scooter,86.76,171.2,264.7,52,41
Z03,Z09,taxi,86.76,145.6,1508.7,79,77
Z03,Z09,rental_car,86.76,172.7,965.1,77,66
Z03,Z09,public_transport,86.76,265.8,118.1,46,51
Z03,Z10,walking,44.74,612.5,0.0,51,38
Z03,Z10,scooter,44.74,101.0,133.0,45,27
Z03,Z10,taxi,44.74,74.5,864.3,88,74
Z03,Z10,rental_car,44.74,87.2,505.0,83,71
Z03,Z10,public_transport,44.74,126.6,73.1,52,43
Z04,Z01,walking,7.82,97.4,0.0,40,27
Z04,Z01,scooter,7.82,14.2,24.6,69,41
Z04,Z01,taxi,7.82,12.3,129.8,88,62
Z04,Z01,rental_car,7.82,15.6,85.7,77,70
Z04,Z01,public_transport,7.82,22.0,12.7,55,31
Z04,Z02,walking,6.52,89.5,0.0,51,46
Z04,Z02,scooter,6.52,12.1,20.2,57,44
Z04,Z02,taxi,6.52,11.5,106.9,68,74
Z04,Z02,rental_car,6.52,11.7,80.1,67,56
Z04,Z02,public_transport,6.52,16.3,10.5,54,37
Z04,Z03,walking,3.23,45.9,0.0,51,30
Z04,Z03,scooter,3.23,6.7,8.9,48,41
Z04,Z03,taxi,3.23,6.3,61.9,86,81
Z04,Z03,rental_car,3.23,6.3,42.5,74,68
Z04,Z03,public_transport,3.23,8.1,4.9,41,54
Z04,Z04,walking,0.53,5.1,0.0,38,37
Z04,Z04,scooter,0.53,7.6,3.8,59,39
Z04,Z04,taxi,0.53,5.4,2.7,69,86
Z04,Z04,rental_car,0.53,13.8,6.9,69,59
Z04,Z04,public_transport,0.53,11.8,5.9,43,47
Z04,Z05,walking,11.17,164.6,0.0,48,44
Z04,Z05,scooter,11.17,20.1,30.4,58,23
Z04,Z05,taxi,11.17,21.0,218.7,89,65
Z04,Z05,rental_car,11.17,19.0,141.9,82,62
Z04,Z05,public_transport,11.17,33.4,15.1,46,39
Z04,Z06,walking,20.09,294.2,0.0,37,31
Z04,Z06,scooter,20.09,39.3,65.9,52,40
Z04,Z06,taxi,20.09,34.8,365.4,75,74
Z04,Z06,rental_car,20.09,39.1,237.8,70,79
Z04,Z06,public_transport,20.09,61.8,32.7,55,37
Z04,Z07,walking,26.96,386.9,0.0,44,47
Z04,Z07,scooter,26.96,58.0,84.9,59,25
Z04,Z07,taxi,26.96,50.2,457.0,81,78
Z04,Z07,rental_car,26.96,52.9,291.3,72,83
Z04,Z07,public_transport,26.96,77.4,37.4,56,44
Z04,Z08,walking,57.03,828.5,0.0,50,32
Z04,Z08,scooter,57.03,114.5,173.5,66,29
Z04,Z08,taxi,57.03,103.8,1071.3,65,60
Z04,Z08,rental_car,57.03,109.5,726.8,74,73
Z04,Z08,public_transport,57.03,150.8,93.4,52,45
Z04,Z09,walking,97.33,1483.1,0.0,47,46
Z04,Z09,scooter,97.33,204.9,272.8,63,21
Z04,Z09,taxi,97.33,182.1,1759.2,78,78
Z04,Z09,rental_car,97.33,169.2,1140.1,81,78
Z04,Z09,public_transport,97.33,267.6,134.6,47,53
Z04,Z10,walking,53.22,724.6,0.0,33,49
Z04,Z10,scooter,53.22,108.4,148.9,45,35
Z04,Z10,taxi,53.22,100.3,905.9,82,81
Z04,Z10,rental_car,53.22,93.7,613.6,74,65
Z04,Z10,public_transport,53.22,150.4,86.0,57,41
Z05,Z01,walking,3.57,48.4,0.0,35,49
Z05,Z01,scooter,3.57,6.6,11.5,69,31
Z05,Z01,taxi,3.57,6.4,62.3,86,64
Z05,Z01,rental_car,3.57,6.5,45.4,72,83
Z05,Z01,public_transport,3.57,11.0,5.5,47,40
Z05,Z02,walking,5.48,75.0,0.0,42,46
Z05,Z02,scooter,5.48,12.5,17.5,49,39
Z05,Z02,taxi,5.48,9.6,105.3,86,66
Z05,Z02,rental_car,5.48,11.2,61.0,67,61
Z05,Z02,public_transport,5.48,15.1,7.9,42,44
Z05,Z03,walking,8.61,110.7,0.0,39,24
Z05,Z03,scooter,8.61,18.8,27.3,46,35
Z05,Z03,taxi,8.61,15.9,167.8,75,86
Z05,Z03,rental_car,8.61,16.1,103.0,80,77
Z05,Z03,public_transport,8.61,22.9,13.7,54,31
Z05,Z04,walking,12.05,148.1,0.0,38,34
Z05,Z04,scooter,12.05,26.9,38.9,69,27
Z05,Z04,taxi,12.05,20.9,207.7,88,67
Z05,Z04,rental_car,12.05,23.2,136.5,63,68
Z05,Z04,public_transport,12.05,29.6,16.8,58,36
Z05,Z05,walking,0.44,7.3,0.0,36,30
Z05,Z05,scooter,0.44,8.3,4.2,61,32
Z05,Z05,taxi,0.44,13.9,7.0,80,87
Z05,Z05,rental_car,0.44,11.9,6.0,75,68
Z05,Z05,public_transport,0.44,6.6,3.3,44,51
Z05,Z06,walking,10.31,145.1,0.0,38,41
Z05,Z06,scooter,10.31,22.9,32.0,56,28
Z05,Z06,taxi,10.31,19.8,192.0,79,87
Z05,Z06,rental_car,10.31,18.3,114.0,76,77
Z05,Z06,public_transport,10.31,29.5,15.2,59,41
Z05,Z07,walking,18.74,276.2,0.0,44,27
Z05,Z07,scooter,18.74,38.7,53.7,65,37
Z05,Z07,taxi,18.74,35.5,315.5,65,73
Z05,Z07,rental_car,18.74,38.3,218.1,61,62
Z05,Z07,public_transport,18.74,49.2,30.1,44,49
Z05,Z08,walking,42.34,551.7,0.0,37,42
Z05,Z08,scooter,42.34,78.0,118.3,52,42
Z05,Z08,taxi,42.34,81.3,694.6,75,66
Z05,Z08,rental_car,42.34,89.5,547.7,65,62
Z05,Z08,public_transport,42.34,110.9,62.5,51,38
Z05,Z09,walking,74.19,984.3,0.0,35,46
Z05,Z09,scooter,74.19,156.2,213.5,53,20
Z05,Z09,taxi,74.19,139.6,1436.5,73,71
Z05,Z09,rental_car,74.19,145.1,850.8,68,81
Z05,Z09,public_transport,74.19,219.4,104.0,36,54
Z05,Z10,walking,39.15,493.9,0.0,40,37
Z05,Z10,scooter,39.15,89.1,120.2,53,28
Z05,Z10,taxi,39.15,61.1,718.8,74,78
Z05,Z10,rental_car,39.15,76.0,493.5,62,84
Z05,Z10,public_transport,39.15,104.1,53.4,45,42
Z06,Z01,walking,11.42,170.7,0.0,30,32
Z06,Z01,scooter,11.42,24.5,31.3,59,22
Z06,Z01,taxi,11.42,19.2,212.6,68,84
Z06,Z01,rental_car,11.42,23.2,147.1,70,60
Z06,Z01,public_transport,11.42,35.8,18.0,53,52
Z06,Z02,walking,14.29,206.3,0.0,51,44
Z06,Z02,scooter,14.29,29.1,44.1,68,34
Z06,Z02,taxi,14.29,27.3,253.7,77,81
Z06,Z02,rental_car,14.29,29.5,187.3,80,73
Z06,Z02,public_transport,14.29,42.0,22.5,41,43
Z06,Z03,walking,17.46,242.9,0.0,53,47
Z06,Z03,scooter,17.46,39.9,49.8,49,31
Z06,Z03,taxi,17.46,32.9,310.6,83,79
Z06,Z03,rental_car,17.46,31.0,224.5,65,79
Z06,Z03,public_transport,17.46,43.9,27.3,47,35
Z06,Z04,walking,20.48,266.9,0.0,36,45
Z06,Z04,scooter,20.48,42.1,60.8,47,23
Z06,Z04,taxi,20.48,35.7,357.1,83,74
Z06,Z04,rental_car,20.48,37.2,266.8,66,62
Z06,Z04,public_transport,20.48,64.1,29.7,39,40
Z06,Z05,walking,9.21,112.3,0.0,32,45
Z06,Z05,scooter,9.21,18.1,28.5,57,27
Z06,Z05,taxi,9.21,17.9,181.1,80,72
Z06,Z05,rental_car,9.21,19.1,117.0,77,65
Z06,Z05,public_transport,9.21,27.0,12.6,47,50
Z06,Z06,walking,0.97,5.8,0.0,48,34
Z06,Z06,scooter,0.97,14.3,7.2,65,30
Z06,Z06,taxi,0.97,10.2,5.1,70,80
Z06,Z06,rental_car,0.97,14.6,7.3,83,70
Z06,Z06,public_transport,0.97,8.5,4.2,38,45
Z06,Z07,walking,10.78,141.0,0.0,47,44
Z06,Z07,scooter,10.78,22.4,33.3,48,33
Z06,Z07,taxi,10.78,20.2,190.8,81,60
Z06,Z07,rental_car,10.78,18.3,121.8,66,57
Z06,Z07,public_transport,10.78,27.8,14.6,42,31
Z06,Z08,walking,36.79,518.7,0.0,33,27
Z06,Z08,scooter,36.79,76.7,102.4,64,41
Z06,Z08,taxi,36.79,57.7,653.1,79,69
Z06,Z08,rental_car,36.79,69.5,422.0,69,59
Z06,Z08,public_transport,36.79,111.4,58.1,52,40
Z06,Z09,walking,72.24,874.4,0.0,45,31
Z06,Z09,scooter,72.24,139.8,209.3,58,40
Z06,Z09,taxi,72.24,130.8,1294.1,88,72
Z06,Z09,rental_car,72.24,135.9,861.7,75,63
Z06,Z09,public_transport,72.24,199.0,112.4,42,54
Z06,Z10,walking,33.29,430.9,0.0,30,45
Z06,Z10,scooter,33.29,70.8,102.0,61,21
Z06,Z10,taxi,33.29,58.6,627.1,88,79
Z06,Z10,rental_car,33.29,59.9,382.2,77,70
Z06,Z10,public_transport,33.29,88.0,48.6,45,51
Z07,Z01,walking,21.24,270.4,0.0,39,24
Z07,Z01,scooter,21.24,45.7,58.4,55,20
Z07,Z01,taxi,21.24,33.0,395.8,76,60
Z07,Z01,rental_car,21.24,45.3,245.9,68,63
Z07,Z01,public_transport,21.24,55.9,32.6,49,46
Z07,Z02,walking,22.22,281.7,0.0,41,44
Z07,Z02,scooter,22.22,51.1,65.5,47,25
Z07,Z02,taxi,22.22,43.4,361.6,65,84
Z07,Z02,rental_car,22.22,45.0,288.7,70,69
Z07,Z02,public_transport,22.22,61.6,36.5,52,35
Z07,Z03,walking,26.98,400.1,0.0,30,32
Z07,Z03,scooter,26.98,50.5,83.6,51,32
Z07,Z03,taxi,26.98,47.7,526.9,77,88
Z07,Z03,rental_car,26.98,49.5,317.3,75,81
Z07,Z03,public_transport,26.98,69.8,37.6,38,48
Z07,Z04,walking,28.1,386.9,0.0,50,35
Z07,Z04,scooter,28.1,62.0,90.7,61,33
Z07,Z04,taxi,28.1,53.2,506.9,78,60
Z07,Z04,rental_car,28.1,58.8,329.5,71,71
Z07,Z04,public_transport,28.1,74.8,42.3,44,53
Z07,Z05,walking,20.67,277.7,0.0,43,45
Z07,Z05,scooter,20.67,40.8,67.3,66,21
Z07,Z05,taxi,20.67,36.9,374.8,70,82
Z07,Z05,rental_car,20.67,36.2,268.4,80,74
Z07,Z05,public_transport,20.67,59.0,31.1,48,47
Z07,Z06,walking,11.27,145.1,0.0,30,28
Z07,Z06,scooter,11.27,23.1,31.1,61,28
Z07,Z06,taxi,11.27,18.3,190.3,66,69
Z07,Z06,rental_car,11.27,20.0,145.6,75,64
Z07,Z06,public_transport,11.27,28.4,18.2,40,51
Z07,Z07,walking,0.6,14.6,0.0,37,38
Z07,Z07,scooter,0.6,12.1,6.0,68,22
Z07,Z07,taxi,0.6,10.9,5.5,66,66
Z07,Z07,rental_car,0.6,14.5,7.2,84,75
Z07,Z07,public_transport,0.6,9.0,4.5,37,38
Z07,Z08,walking,29.96,428.9,0.0,37,47
Z07,Z08,scooter,29.96,55.3,89.8,53,36
Z07,Z08,taxi,29.96,51.8,500.8,68,78
Z07,Z08,rental_car,29.96,52.6,361.1,83,76
Z07,Z08,public_transport,29.96,75.1,42.3,39,52
Z07,Z09,walking,65.81,898.0,0.0,31,31
Z07,Z09,scooter,65.81,133.0,200.6,47,25
Z07,Z09,taxi,65.81,112.0,1083.1,70,73
Z07,Z09,rental_car,65.81,125.5,867.2,65,69
Z07,Z09,public_transport,65.81,205.5,97.2,59,47
Z07,Z10,walking,29.95,383.1,0.0,32,40
Z07,Z10,scooter,29.95,60.7,87.0,47,23
Z07,Z10,taxi,29.95,55.4,523.7,69,88
Z07,Z10,rental_car,29.95,53.9,362.2,81,72
Z07,Z10,public_transport,29.95,83.6,41.8,39,40
Z08,Z01,walking,48.0,618.2,0.0,34,25
Z08,Z01,scooter,48.0,87.4,145.9,68,26
Z08,Z01,taxi,48.0,79.2,855.8,78,88
Z08,Z01,rental_car,48.0,97.2,543.9,62,84
Z08,Z01,public_transport,48.0,128.1,77.8,39,48
Z08,Z02,walking,52.69,746.8,0.0,49,38
Z08,Z02,scooter,52.69,118.7,158.4,57,24
Z08,Z02,taxi,52.69,95.8,957.2,73,84
Z08,Z02,rental_car,52.69,98.6,608.7,63,79
Z08,Z02,public_transport,52.69,142.9,84.1,56,52
Z08,Z03,walking,54.2,674.8,0.0,41,42
Z08,Z03,scooter,54.2,104.6,154.2,57,28
Z08,Z03,taxi,54.2,92.1,1018.0,71,73
Z08,Z03,rental_car,54.2,108.5,656.5,83,69
Z08,Z03,public_transport,54.2,163.6,87.0,46,34
Z08,Z04,walking,59.11,787.2,0.0,37,34
Z08,Z04,scooter,59.11,127.2,165.3,69,31
Z08,Z04,taxi,59.11,94.2,1125.5,79,79
Z08,Z04,rental_car,59.11,119.0,767.5,67,81
Z08,Z04,public_transport,59.11,160.9,91.3,39,45
Z08,Z05,walking,42.09,509.2,0.0,40,33
Z08,Z05,scooter,42.09,87.8,117.6,61,43
Z08,Z05,taxi,42.09,71.6,723.4,76,68
Z08,Z05,rental_car,42.09,77.1,509.1,78,81
Z08,Z05,public_transport,42.09,118.8,64.6,58,33
Z08,Z06,walking,33.99,419.3,0.0,31,37
Z08,Z06,scooter,33.99,64.4,96.2,65,25
Z08,Z06,taxi,33.99,61.1,626.7,73,70
Z08,Z06,rental_car,33.99,71.8,391.2,77,72
Z08,Z06,public_transport,33.99,96.4,49.0,51,37
Z08,Z07,walking,29.79,428.2,0.0,52,37
Z08,Z07,scooter,29.79,61.3,86.2,67,35
Z08,Z07,taxi,29.79,55.8,536.3,85,70
Z08,Z07,rental_car,29.79,54.0,363.9,79,65
Z08,Z07,public_transport,29.79,79.6,44.5,56,47
Z08,Z08,walking,0.86,13.9,0.0,53,32
Z08,Z08,scooter,0.86,15.0,7.5,54,35
Z08,Z08,taxi,0.86,10.2,5.1,68,84
Z08,Z08,rental_car,0.86,13.0,6.5,71,70
Z08,Z08,public_transport,0.86,12.3,6.2,57,49
Z08,Z09,walking,37.85,518.6,0.0,45,30
Z08,Z09,scooter,37.85,77.7,121.6,45,38
Z08,Z09,taxi,37.85,71.3,666.4,82,60
Z08,Z09,rental_car,37.85,64.5,443.6,73,70
Z08,Z09,public_transport,37.85,99.5,51.5,46,32
Z08,Z10,walking,9.2,123.1,0.0,47,34
Z08,Z10,scooter,9.2,18.6,27.5,58,37
Z08,Z10,taxi,9.2,14.2,179.1,79,61
Z08,Z10,rental_car,9.2,17.5,103.9,61,74
Z08,Z10,public_transport,9.2,24.3,14.8,48,37
Z09,Z01,walking,84.0,1077.7,0.0,39,49
Z09,Z01,scooter,84.0,173.7,250.0,55,42
Z09,Z01,taxi,84.0,155.0,1661.9,89,67
Z09,Z01,rental_car,84.0,172.8,1019.2,67,65
Z09,Z01,public_transport,84.0,262.6,129.9,50,46
Z09,Z02,walking,87.12,1082.4,0.0,52,30
Z09,Z02,scooter,87.12,196.8,277.4,57,36
Z09,Z02,taxi,87.12,139.4,1433.2,67,88
Z09,Z02,rental_car,87.12,150.3,1092.2,72,84
Z09,Z02,public_transport,87.12,263.5,124.9,48,54
Z09,Z03,walking,81.7,1221.3,0.0,42,46
Z09,Z03,scooter,81.7,155.4,260.1,47,41
Z09,Z03,taxi,81.7,147.6,1543.0,67,87
Z09,Z03,rental_car,81.7,145.1,894.4,78,71
Z09,Z03,public_transport,81.7,211.8,127.4,46,35
Z09,Z04,walking,89.55,1108.5,0.0,38,22
Z09,Z04,scooter,89.55,191.6,245.6,49,24
Z09,Z04,taxi,89.55,164.4,1509.3,89,69
Z09,Z04,rental_car,89.55,165.2,1000.0,60,79
Z09,Z04,public_transport,89.55,273.1,137.1,40,52
Z09,Z05,walking,79.6,1023.1,0.0,34,40
Z09,Z05,scooter,79.6,172.4,251.8,45,37
Z09,Z05,taxi,79.6,128.7,1399.6,66,84
Z09,Z05,rental_car,79.6,154.4,984.9,81,74
Z09,Z05,public_transport,79.6,240.3,118.8,54,41
Z09,Z06,walking,74.3,956.8,0.0,42,29
Z09,Z06,scooter,74.3,141.0,236.3,45,26
Z09,Z06,taxi,74.3,119.4,1253.6,73,73
Z09,Z06,rental_car,74.3,154.9,815.0,73,80
Z09,Z06,public_transport,74.3,205.9,121.6,35,53
Z09,Z07,walking,74.97,1121.5,0.0,36,35
Z09,Z07,scooter,74.97,160.7,225.4,65,27
Z09,Z07,taxi,74.97,141.9,1428.6,75,60
Z09,Z07,rental_car,74.97,161.6,895.8,78,58
Z09,Z07,public_transport,74.97,228.1,106.0,55,51
Z09,Z08,walking,37.71,560.2,0.0,31,37
Z09,Z08,scooter,37.71,68.0,109.9,62,23
Z09,Z08,taxi,37.71,60.3,732.6,80,88
Z09,Z08,rental_car,37.71,79.7,426.9,63,72
Z09,Z08,public_transport,37.71,108.1,51.9,59,36
Z09,Z09,walking,0.35,10.9,0.0,31,35
Z09,Z09,scooter,0.35,9.0,4.5,65,25
Z09,Z09,taxi,0.35,10.9,5.5,76,89
Z09,Z09,rental_car,0.35,11.9,6.0,73,79
Z09,Z09,public_transport,0.35,12.1,6.0,46,34
Z09,Z10,walking,39.06,470.3,0.0,54,31
Z09,Z10,scooter,39.06,77.0,127.5,58,20
Z09,Z10,taxi,39.06,69.0,745.0,80,66
Z09,Z10,rental_car,39.06,80.9,422.1,66,68
Z09,Z10,public_transport,39.06,120.8,62.0,50,30
Z10,Z01,walking,41.68,614.7,0.0,51,21
Z10,Z01,scooter,41.68,76.3,117.6,60,42
Z10,Z01,taxi,41.68,65.4,786.5,78,71
Z10,Z01,rental_car,41.68,88.3,460.3,81,74
Z10,Z01,public_transport,41.68,104.2,62.2,58,30
Z10,Z02,walking,41.29,498.0,0.0,51,43
Z10,Z02,scooter,41.29,91.1,114.6,57,20
Z10,Z02,taxi,41.29,73.8,703.7,68,76
Z10,Z02,rental_car,41.29,88.1,521.8,78,68
Z10,Z02,public_transport,41.29,116.0,66.1,56,43
Z10,Z03,walking,44.02,624.5,0.0,34,34
Z10,Z03,scooter,44.02,94.5,144.0,67,32
Z10,Z03,taxi,44.02,77.1,830.7,72,81
Z10,Z03,rental_car,44.02,85.5,545.1,66,81
Z10,Z03,public_transport,44.02,130.4,61.0,59,39
Z10,Z04,walking,51.21,639.5,0.0,41,21
Z10,Z04,scooter,51.21,95.2,154.0,52,22
Z10,Z04,taxi,51.21,92.0,860.9,69,72
Z10,Z04,rental_car,51.21,91.1,663.2,78,61
Z10,Z04,public_transport,51.21,143.9,74.1,35,37
Z10,Z05,walking,39.05,578.2,0.0,35,35
Z10,Z05,scooter,39.05,73.3,122.3,52,23
Z10,Z05,taxi,39.05,63.6,739.5,79,67
Z10,Z05,rental_car,39.05,77.9,455.4,72,71
Z10,Z05,public_transport,39.05,100.7,61.6,45,38
Z10,Z06,walking,33.2,486.7,0.0,33,35
Z10,Z06,scooter,33.2,64.3,99.0,45,42
Z10,Z06,taxi,33.2,64.3,582.7,79,71
Z10,Z06,rental_car,33.2,58.6,388.1,81,74
Z10,Z06,public_transport,33.2,98.3,46.3,36,45
Z10,Z07,walking,32.18,443.5,0.0,36,28
Z10,Z07,scooter,32.18,66.1,92.8,45,36
Z10,Z07,taxi,32.18,58.1,547.8,69,70
Z10,Z07,rental_car,32.18,60.0,362.0,74,72
Z10,Z07,public_transport,32.18,84.2,43.7,38,54
Z10,Z08,walking,9.89,146.1,0.0,37,42
Z10,Z08,scooter,9.89,20.6,31.6,59,29
Z10,Z08,taxi,9.89,16.5,171.0,70,73
Z10,Z08,rental_car,9.89,18.1,127.7,61,75
Z10,Z08,public_transport,9.89,25.0,14.7,57,47
Z10,Z09,walking,39.95,553.3,0.0,39,23
Z10,Z09,scooter,39.95,91.4,123.5,66,42
